Data	Data	Abertura	Máxima	Mínima	Últio	Vol.	Vol.	Var%
01.07.2014	01.07.2014	13.45	13.66	13.39	13.66	7.86	7.86	1.71%
02.07.2014	02.07.2014	13.63	13.64	13.48	13.64	9.28	9.28	-0.15%
03.07.2014	03.07.2014	13.52	13.89	13.49	13.89	9.67	9.67	1.83%
04.07.2014	04.07.2014	13.86	13.94	13.7	13.91	2.82	2.82	0.14%
07.07.2014	07.07.2014	13.85	13.85	13.65	13.71	7.2	7.2	-1.44%
08.07.2014	08.07.2014	13.7	13.74	13.57	13.7	5.28	5.28	-0.07%
10.07.2014	10.07.2014	13.67	13.83	13.34	13.36	30.04	30.04	-2.48%
11.07.2014	11.07.2014	13.34	13.42	13.31	13.38	10.04	10.04	0.15%
14.07.2014	14.07.2014	13.52	13.53	13.21	13.3	16.35	16.35	-0.6%
15.07.2014	15.07.2014	13.32	13.39	13.23	13.39	14.91	14.91	0.68%
16.07.2014	16.07.2014	13.42	13.69	13.38	13.65	12.15	12.15	1.94%
17.07.2014	17.07.2014	13.63	13.92	13.59	13.81	11.44	11.44	1.17%
18.07.2014	18.07.2014	13.89	14.17	13.86	14.17	19.5	19.5	2.61%
21.07.2014	21.07.2014	14.14	14.39	14.07	14.33	9.73	9.73	1.13%
22.07.2014	22.07.2014	14.34	14.34	14.11	14.21	8.54	8.54	-0.84%
23.07.2014	23.07.2014	14.06	14.22	13.97	14.04	7.46	7.46	-1.2%
24.07.2014	24.07.2014	14.11	14.28	14.07	14.25	5.55	5.55	1.5%
25.07.2014	25.07.2014	14.27	14.31	14.12	14.15	12.61	12.61	-0.7%
28.07.2014	28.07.2014	14.18	14.25	14.03	14.03	8.54	8.54	-0.85%
29.07.2014	29.07.2014	14.03	14.27	13.96	14.11	5.43	5.43	0.57%
30.07.2014	30.07.2014	14.2	14.23	14.09	14.11	7.18	7.18	0.00%
31.07.2014	31.07.2014	13.81	13.87	13.44	13.49	20.09	20.09	-4.39%
01.08.2014	01.08.2014	13.5	13.57	13.38	13.48	10.32	10.32	-0.07%
04.08.2014	04.08.2014	13.49	13.54	13.27	13.49	11.12	11.12	0.07%
05.08.2014	05.08.2014	13.44	13.47	13.14	13.19	11.69	11.69	-2.22%
06.08.2014	06.08.2014	13.2	13.42	12.92	13.31	25.24	25.24	0.91%
07.08.2014	07.08.2014	13.38	13.5	13.34	13.38	9.84	9.84	0.53%
08.08.2014	08.08.2014	13.31	13.51	13.3	13.51	13.86	13.86	0.97%
11.08.2014	11.08.2014	13.61	13.7	13.5	13.66	8.93	8.93	1.11%
12.08.2014	12.08.2014	13.57	13.72	13.51	13.62	6.15	6.15	-0.29%
13.08.2014	13.08.2014	13.62	13.71	13.28	13.5	15.06	15.06	-0.88%
14.08.2014	14.08.2014	13.42	13.53	13.37	13.53	7.12	7.12	0.22%
15.08.2014	15.08.2014	13.61	13.72	13.44	13.68	9.71	9.71	1.11%
