Data,Close,Recompensa,RecompensaAcumulada,Estado,Evolucao,Evolucao2
2014-07-07,13.71,-0.0144,0.0,3,-0.0144,-0.0144
2014-07-08,13.7,-0.0151,-1.4378,1.0,-0.0151,-0.0151
2014-07-10,13.36,-0.0248,-2.9475,3.0,-0.0399,-0.0399
2014-07-11,13.38,-0.0234,-5.4293,1.0,-0.0385,-0.0384
2014-07-14,13.3,-0.0292,-7.765,1.0,-0.0443,-0.0444
2014-07-15,13.39,-0.0068,-10.6847,3.0,-0.0511,-0.0512
2014-07-16,13.65,-0.0263,-11.3614,2.0,-0.0706,-0.0706
2014-07-17,13.81,-0.0383,-13.993,2.0,-0.0826,-0.0823
2014-07-18,14.17,-0.0261,-17.8276,3.0,-0.1087,-0.1084
2014-07-21,14.33,-0.0377,-20.4344,2.0,-0.1203,-0.1197
2014-07-22,14.21,-0.029,-24.1998,2.0,-0.1116,-0.1113
2014-07-23,14.04,-0.0167,-27.0962,2.0,-0.0993,-0.0993
2014-07-24,14.25,0.0,-28.7617,3.0,-0.0993,-0.0993
2014-07-25,14.15,0.007,-28.7617,3.0,-0.0923,-0.0923
2014-07-28,14.03,0.0154,-28.0599,2.0,-0.0839,-0.0838
2014-07-29,14.11,-0.0057,-26.5161,3.0,-0.0896,-0.0895
2014-07-30,14.11,-0.0057,-27.0863,2.0,-0.0896,-0.0895
2014-07-31,13.49,0.0385,-27.6565,2.0,-0.0454,-0.0456
2014-08-01,13.48,0.0007,-23.8076,3.0,-0.0446,-0.0449
2014-08-04,13.49,0.0,-23.7335,2.0,-0.0454,-0.0456
2014-08-05,13.19,0.0222,-23.7335,2.0,-0.0231,-0.0234
2014-08-06,13.31,0.0133,-21.5096,2.0,-0.032,-0.0325
2014-08-07,13.38,-0.0053,-20.1753,3.0,-0.0373,-0.0377
2014-08-08,13.51,-0.015,-20.7012,2.0,-0.0471,-0.0474
2014-08-11,13.66,-0.0263,-22.2038,2.0,-0.0583,-0.0585
2014-08-12,13.62,-0.0233,-24.8334,2.0,-0.0553,-0.0556
2014-08-13,13.5,-0.0143,-27.1625,2.0,-0.0463,-0.0468
2014-08-14,13.53,-0.0022,-28.59,3.0,-0.0485,-0.049
2014-08-15,13.68,-0.0133,-28.8122,2.0,-0.0596,-0.0601
2014-08-18,13.89,-0.0289,-30.1455,2.0,-0.0752,-0.0755
2014-08-19,14.03,-0.0101,-33.0344,3.0,-0.0853,-0.0855
2014-08-20,14.1,-0.0151,-34.0423,2.0,-0.0903,-0.0905
2014-08-21,14.04,-0.0108,-35.5542,2.0,-0.086,-0.0863
2014-08-22,13.99,-0.0072,-36.6341,2.0,-0.0824,-0.0827
2014-08-25,14.3,0.0,-37.3541,3.0,-0.0824,-0.0827
2014-08-26,14.24,0.0042,-37.3541,3.0,-0.0782,-0.0785
2014-08-27,14.24,0.0042,-36.9345,2.0,-0.0782,-0.0785
2014-08-28,14.05,0.0175,-36.5149,2.0,-0.0649,-0.0652
2014-08-29,14.03,0.0189,-34.7666,2.0,-0.0635,-0.0637
2014-09-01,13.74,0.0392,-32.8785,2.0,-0.0432,-0.0431
2014-09-02,13.74,0.0392,-28.9624,2.0,-0.0432,-0.0431
2014-09-03,13.97,0.0231,-25.0464,2.0,-0.0593,-0.0598
2014-09-04,14.07,0.0161,-22.7387,2.0,-0.0663,-0.067
2014-09-05,13.77,0.0371,-21.1303,2.0,-0.0453,-0.0457
2014-09-08,13.56,0.0517,-17.424,2.0,-0.0306,-0.0304
2014-09-09,13.51,0.0552,-12.2492,2.0,-0.0271,-0.0267
2014-09-10,13.71,0.0413,-6.7247,2.0,-0.0411,-0.0415
2014-09-11,13.6,0.049,-2.5988,2.0,-0.0334,-0.0335
2014-09-12,13.31,0.0692,2.2963,2.0,-0.0132,-0.0122
2014-09-15,13.81,0.0343,9.2194,2.0,-0.0481,-0.0497
2014-09-16,13.97,0.0231,12.6459,2.0,-0.0593,-0.0613
2014-09-17,13.73,0.0399,14.9536,2.0,-0.0425,-0.0441
2014-09-18,13.93,0.0259,18.9397,2.0,-0.0565,-0.0587
2014-09-19,14.11,0.0133,21.5271,2.0,-0.0691,-0.0716
2014-09-22,14.15,-0.0028,22.8557,3.0,-0.0719,-0.0745
2014-09-23,14.11,0.0,22.5723,2.0,-0.0691,-0.0716
2014-09-24,14.2,-0.0064,22.5723,2.0,-0.0755,-0.078
2014-09-25,14.08,0.0085,21.9344,3.0,-0.067,-0.0696
2014-09-26,14.12,0.0056,22.7795,2.0,-0.0698,-0.0724
2014-09-29,13.91,0.0204,23.3429,2.0,-0.0551,-0.0575
