Iteracao,Recompensa
2500,0.07723303
5000,1.5931207
7500,2.717639
10000,0.30602035
12500,1.46571
15000,2.8381789
17500,1.3887277
20000,1.5217683
22500,1.0394927
25000,2.16786
27500,1.8304853
30000,1.9103886
32500,2.1929784
35000,2.9306805
37500,2.260017
40000,3.2515218
42500,2.5156357
45000,4.494137
47500,4.050791
50000,4.568094
52500,3.9458523
55000,2.6850867
57500,2.494878
60000,5.1786137
62500,3.8170838
65000,3.9845397
67500,3.2944887
70000,1.8096796
72500,3.8073435
75000,1.4287378
77500,3.1741073
80000,3.8209012
82500,2.5539498
85000,10.823527
87500,7.402368
90000,7.0724354
92500,5.5015736
95000,3.808485
97500,2.911283
100000,10.912298
102500,5.20399
105000,8.013316
107500,4.4528837
110000,5.7942767
112500,7.423572
115000,4.5579596
117500,5.135056
120000,9.71646
122500,5.8260746
125000,8.8102255
127500,9.67447
130000,11.829527
132500,11.832338
135000,7.555032
137500,6.5662627
140000,15.428958
142500,5.615958
145000,14.2208605
147500,14.218762
150000,14.380534
152500,14.218762
155000,14.218762
157500,14.218762
160000,14.096335
162500,10.834838
165000,14.218762
167500,14.218762
170000,14.218762
172500,14.218762
175000,14.218762
177500,7.9649673
180000,14.218762
182500,13.370408
185000,14.218762
187500,14.218762
190000,10.411257
192500,14.218762
195000,14.218762
197500,14.039878
200000,14.218762
202500,14.218762
205000,14.218762
207500,14.218762
210000,14.218762
212500,14.218762
215000,14.218762
217500,14.218762
220000,14.218762
222500,13.4159355
225000,14.218762
227500,14.218762
230000,14.218762
232500,14.218762
235000,14.218762
237500,14.218762
240000,14.218762
242500,14.218762
245000,14.218762
247500,14.218762
250000,14.218762
252500,14.218762
255000,14.218762
257500,14.218762
260000,14.218762
262500,14.218762
265000,14.218762
267500,14.218762
270000,14.218762
272500,14.218762
275000,14.218762
277500,14.218762
280000,14.218762
282500,14.218762
285000,14.218762
287500,14.218762
290000,14.218762
292500,14.218762
295000,14.218762
297500,14.218762
300000,14.218762
