Iteracao,Retorno
2500,0.07418548
5000,0.28859773
7500,-0.071151875
10000,-0.13781197
12500,-0.028734885
15000,0.37831274
17500,-0.09125752
20000,-0.3445757
22500,-0.24336836
25000,-0.20077941
27500,-0.24643677
30000,-0.09465579
32500,0.0033234302
35000,-0.2079438
37500,-0.1609027
40000,0.02700754
42500,-0.10035339
45000,0.39723152
47500,-0.003926492
50000,0.3423652
52500,0.020135522
55000,-0.12496659
57500,0.16866896
60000,-0.123162724
62500,-0.20483477
65000,0.19754797
67500,-0.08627531
70000,-0.38394225
72500,-0.15607089
75000,-0.5112108
77500,-0.21460144
80000,0.028252821
82500,-0.15826906
85000,-0.062453367
87500,-0.019334514
90000,-0.022243876
92500,-0.034543164
95000,-0.0892149
97500,0.023868725
100000,-0.030332379
102500,-0.036911648
105000,-0.022566853
107500,-0.008744817
110000,-0.03214419
112500,-0.0027103461
115000,-0.028084029
117500,-0.018612772
120000,-0.0719061
122500,-0.015311886
125000,-0.012502797
127500,0.059271514
130000,-0.01024376
132500,-0.010229157
135000,0.032826673
137500,-0.034086995
140000,-0.040525325
142500,0.011635496
145000,0.015910555
147500,0.015896428
150000,0.015943322
152500,0.015896428
155000,0.015896428
157500,0.015896428
160000,0.04537405
162500,0.07065358
165000,0.015896428
167500,0.015896428
170000,0.015896428
172500,0.015896428
175000,0.015896428
177500,0.064230874
180000,0.015896428
182500,0.012670069
185000,0.015896428
187500,0.015896428
190000,0.076515645
192500,0.015896428
195000,0.015896428
197500,0.050956726
200000,0.015896428
202500,0.015896428
205000,0.015896428
207500,0.015896428
210000,0.015896428
212500,0.015896428
215000,0.015896428
217500,0.015896428
220000,0.015896428
222500,0.010324153
225000,0.015896428
227500,0.015896428
230000,0.015896428
232500,0.015896428
235000,0.015896428
237500,0.015896428
240000,0.015896428
242500,0.015896428
245000,0.015896428
247500,0.015896428
250000,0.015896428
252500,0.015896428
255000,0.015896428
257500,0.015896428
260000,0.015896428
262500,0.015896428
265000,0.015896428
267500,0.015896428
270000,0.015896428
272500,0.015896428
275000,0.015896428
277500,0.015896428
280000,0.015896428
282500,0.015896428
285000,0.015896428
287500,0.015896428
290000,0.015896428
292500,0.015896428
295000,0.015896428
297500,0.015896428
300000,0.015896428
