"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.07.2014","13,66","13,45","13,66","13,39","7,86M","1,71%"
"02.07.2014","13,64","13,63","13,64","13,48","9,28M","-0,15%"
"03.07.2014","13,89","13,52","13,89","13,49","9,67M","1,83%"
"04.07.2014","13,91","13,86","13,94","13,70","2,82M","0,14%"
"07.07.2014","13,71","13,85","13,85","13,65","7,20M","-1,44%"
"08.07.2014","13,70","13,70","13,74","13,57","5,28M","-0,07%"
"10.07.2014","13,36","13,67","13,83","13,34","30,04M","-2,48%"
"11.07.2014","13,38","13,34","13,42","13,31","10,04M","0,15%"
"14.07.2014","13,30","13,52","13,53","13,21","16,35M","-0,60%"
"15.07.2014","13,39","13,32","13,39","13,23","14,91M","0,68%"
"16.07.2014","13,65","13,42","13,69","13,38","12,15M","1,94%"
"17.07.2014","13,81","13,63","13,92","13,59","11,44M","1,17%"
"18.07.2014","14,17","13,89","14,17","13,86","19,50M","2,61%"
"21.07.2014","14,33","14,14","14,39","14,07","9,73M","1,13%"
"22.07.2014","14,21","14,34","14,34","14,11","8,54M","-0,84%"
"23.07.2014","14,04","14,06","14,22","13,97","7,46M","-1,20%"
"24.07.2014","14,25","14,11","14,28","14,07","5,55M","1,50%"
"25.07.2014","14,15","14,27","14,31","14,12","12,61M","-0,70%"
"28.07.2014","14,03","14,18","14,25","14,03","8,54M","-0,85%"
"29.07.2014","14,11","14,03","14,27","13,96","5,43M","0,57%"
"30.07.2014","14,11","14,20","14,23","14,09","7,18M","0,00%"
"31.07.2014","13,49","13,81","13,87","13,44","20,09M","-4,39%"
"01.08.2014","13,48","13,50","13,57","13,38","10,32M","-0,07%"
"04.08.2014","13,49","13,49","13,54","13,27","11,12M","0,07%"
"05.08.2014","13,19","13,44","13,47","13,14","11,69M","-2,22%"
"06.08.2014","13,31","13,20","13,42","12,92","25,24M","0,91%"
"07.08.2014","13,38","13,38","13,50","13,34","9,84M","0,53%"
"08.08.2014","13,51","13,31","13,51","13,30","13,86M","0,97%"
"11.08.2014","13,66","13,61","13,70","13,50","8,93M","1,11%"
"12.08.2014","13,62","13,57","13,72","13,51","6,15M","-0,29%"
"13.08.2014","13,50","13,62","13,71","13,28","15,06M","-0,88%"
"14.08.2014","13,53","13,42","13,53","13,37","7,12M","0,22%"
"15.08.2014","13,68","13,61","13,72","13,44","9,71M","1,11%"
"18.08.2014","13,89","13,76","13,90","13,69","15,49M","1,54%"
"19.08.2014","14,03","13,93","14,07","13,83","20,02M","1,01%"
"20.08.2014","14,10","13,97","14,16","13,95","8,08M","0,50%"
