Data,Close,Recompensa,RecompensaAcumulada,Estado,Retorno,RetornoAcumulado
2015-01-06,14.18,0.0,0.0,3,0.029,0.0
2015-01-07,14.53,0.029,0.0,1.0,0.0254,0.029
2015-01-08,14.59,0.0,2.9028,3.0,-0.0041,0.0544
2015-01-09,14.58,-0.0041,2.9028,2.0,0.0007,0.0503
2015-01-12,14.85,0.0,2.4898,3.0,-0.0185,0.051
2015-01-13,14.8,-0.0185,2.4898,2.0,0.0034,0.0325
2015-01-14,14.75,0.0,0.638,3.0,0.0,0.0359
2015-01-15,14.76,0.0,0.638,3.0,0.0007,0.0359
2015-01-16,14.96,0.0007,0.638,1.0,0.0136,0.0366
2015-01-19,14.73,0.0142,0.7058,1.0,-0.0156,0.0501
2015-01-20,14.94,0.0,2.1295,3.0,-0.0143,0.0345
2015-01-21,15.13,-0.0143,2.1295,2.0,-0.0129,0.0203
2015-01-22,15.24,-0.0272,0.7038,2.0,-0.0075,0.0074
2015-01-23,15.13,-0.0346,-2.0117,2.0,0.0075,-0.0001
2015-01-26,15.06,0.0,-5.474,3.0,0.0046,0.0074
2015-01-27,15.0,0.0046,-5.474,2.0,0.004,0.012
2015-01-28,15.14,0.0,-5.0114,3.0,0.0,0.016
2015-01-29,15.64,0.0,-5.0114,3.0,-0.033,0.016
2015-01-30,15.6,-0.033,-5.0114,2.0,0.0026,-0.017
2015-02-02,15.39,0.0,-8.3139,3.0,0.0,-0.0144
2015-02-03,15.49,0.0,-8.3139,3.0,-0.0065,-0.0144
2015-02-04,15.34,-0.0065,-8.3139,2.0,0.0097,-0.0209
2015-02-05,15.58,0.0032,-8.9637,2.0,-0.0156,-0.0112
2015-02-06,15.8,-0.0123,-8.6388,2.0,-0.0143,-0.0268
2015-02-09,16.07,-0.0266,-9.8733,2.0,-0.0175,-0.041
2015-02-10,15.91,0.0,-12.5374,3.0,0.01,-0.0586
2015-02-11,15.79,0.01,-12.5374,2.0,0.0075,-0.0486
2015-02-12,16.02,0.0174,-11.5418,2.0,-0.0143,-0.0412
2015-02-13,15.9,0.0031,-9.7994,2.0,0.0075,-0.0555
2015-02-18,16.15,0.0106,-9.4883,2.0,-0.0156,-0.048
2015-02-19,16.14,-0.005,-8.4304,2.0,0.0006,-0.0636
2015-02-20,16.11,-0.0044,-8.9282,2.0,0.0019,-0.0629
2015-02-23,16.27,-0.0025,-9.3638,2.0,-0.01,-0.0611
2015-02-24,16.41,0.0,-9.6127,3.0,0.0086,-0.071
2015-02-25,16.2,0.0086,-9.6127,1.0,-0.0129,-0.0624
2015-02-26,16.2,-0.0043,-8.7522,1.0,0.0,-0.0753
2015-02-27,16.23,0.0,-9.1825,3.0,0.0019,-0.0753
2015-03-02,16.08,0.0019,-9.1825,1.0,-0.0093,-0.0735
2015-03-03,16.39,-0.0074,-8.9973,1.0,0.0191,-0.0827
2015-03-04,16.21,0.0,-9.738,3.0,-0.011,-0.0636
2015-03-05,16.29,-0.011,-9.738,1.0,0.0049,-0.0746
2015-03-06,16.21,0.0,-10.8363,3.0,0.0049,-0.0697
2015-03-09,16.26,0.0049,-10.8363,2.0,-0.0031,-0.0648
2015-03-10,15.74,0.0018,-10.3452,2.0,0.0319,-0.0679
2015-03-11,16.11,0.0338,-10.161,2.0,-0.0227,-0.0359
2015-03-12,16.06,0.011,-6.7847,2.0,0.0031,-0.0587
2015-03-13,16.09,0.0141,-5.6797,2.0,-0.0018,-0.0556
2015-03-16,16.04,0.0123,-4.2678,2.0,0.0031,-0.0574
2015-03-17,16.21,0.0153,-3.04,2.0,-0.0104,-0.0544
2015-03-18,16.42,0.0049,-1.5054,2.0,-0.0129,-0.0648
2015-03-19,16.45,-0.008,-1.0143,2.0,-0.0018,-0.0777
2015-03-20,16.58,-0.0098,-1.8123,2.0,-0.008,-0.0795
2015-03-23,16.72,-0.0178,-2.7945,2.0,-0.0086,-0.0875
2015-03-24,16.48,0.0,-4.5747,3.0,0.0144,-0.0961
2015-03-25,16.39,0.0144,-4.5747,2.0,0.0054,-0.0818
2015-03-26,16.1,0.0197,-3.1393,2.0,0.0173,-0.0764
2015-03-27,16.22,0.0371,-1.1656,2.0,-0.0072,-0.059
2015-03-30,16.58,0.0299,2.5425,2.0,-0.0215,-0.0662
2015-03-31,16.41,0.0084,5.5329,2.0,0.0102,-0.0877
2015-04-01,16.79,0.0185,6.3703,2.0,-0.0227,-0.0776
2015-04-02,16.77,-0.0042,8.2243,2.0,0.0012,-0.1003
2015-04-06,17.1,-0.003,7.8057,2.0,-0.0197,-0.0991
2015-04-07,17.28,-0.0227,7.5066,2.0,-0.0108,-0.1188
2015-04-08,17.3,0.0,5.2339,3.0,0.0,-0.1296
2015-04-09,17.21,0.0,5.2339,3.0,0.0052,-0.1296
2015-04-10,17.34,0.0052,5.2339,2.0,-0.0075,-0.1244
