Iteracao,Recompensa
2500,2.588687
5000,0.8296806
7500,2.4479053
10000,1.9705882
12500,5.908352
15000,3.8505251
17500,4.2028675
20000,8.316028
22500,0.9803082
25000,5.2066393
27500,2.9564903
30000,6.362421
32500,5.8636017
35000,7.6039066
37500,5.564308
40000,6.7407856
42500,7.14715
45000,7.5228953
47500,9.410449
50000,9.320813
52500,8.881497
55000,11.44968
57500,14.050935
60000,7.6536264
62500,7.341641
65000,14.449864
67500,11.673991
70000,9.367044
72500,6.6970797
75000,9.788045
77500,14.416314
80000,9.3656435
82500,13.670421
85000,12.026052
87500,20.929066
90000,42.55168
92500,23.40268
95000,18.992332
97500,25.339653
100000,22.296957
102500,19.06316
105000,32.63177
107500,41.035236
110000,17.566673
112500,23.57451
115000,23.039724
117500,46.49958
120000,46.49958
122500,22.962317
125000,22.243158
127500,24.598854
130000,46.49958
132500,35.526657
135000,31.576075
137500,46.49958
140000,35.952923
142500,25.517303
145000,25.233091
147500,24.490944
150000,27.742996
152500,38.534996
155000,43.388012
157500,46.49958
160000,46.49958
162500,46.49958
165000,40.45665
167500,46.49958
170000,46.49958
172500,46.49958
175000,29.487999
177500,41.442497
180000,46.49958
182500,46.49958
185000,46.49958
187500,46.49958
190000,29.97577
192500,46.49958
195000,46.49958
197500,46.49958
200000,46.49958
202500,46.49958
205000,46.49958
207500,46.49958
210000,41.575565
212500,46.49958
215000,46.49958
217500,46.49958
220000,46.49958
222500,46.49958
225000,27.683853
227500,46.49958
230000,46.49958
232500,46.49958
235000,46.49958
237500,46.49958
240000,46.49958
242500,46.49958
245000,46.49958
247500,46.49958
250000,46.49958
252500,46.49958
255000,46.49958
257500,46.49958
260000,46.49958
262500,46.49958
265000,46.49958
267500,46.49958
270000,46.49958
272500,46.49958
275000,46.49958
277500,46.49958
280000,46.49958
282500,46.49958
285000,46.49958
287500,46.49958
290000,46.49958
292500,46.49958
295000,46.49958
297500,46.49958
300000,46.49958
