Iteracao,Retorno
2500,0.6512609
5000,-0.29586262
7500,0.36167312
10000,0.16155739
12500,0.35071734
15000,0.14305548
17500,0.30566093
20000,0.41598025
22500,-0.29459316
25000,0.43721238
27500,0.14284807
30000,0.04851453
32500,0.17994522
35000,0.020849044
37500,0.05506514
40000,0.06832186
42500,0.31713456
45000,0.35815513
47500,0.20566152
50000,0.27957726
52500,0.034073185
55000,0.6127895
57500,0.28385824
60000,0.21458979
62500,-0.33605313
65000,0.22631027
67500,0.27526093
70000,0.25246537
72500,0.2307751
75000,0.18965225
77500,0.19011714
80000,0.19143926
82500,0.18516931
85000,0.11938928
87500,0.25533083
90000,0.32280776
92500,0.24530002
95000,-0.35645932
97500,0.2605276
100000,-0.28454566
102500,0.26375282
105000,0.22313698
107500,0.24032226
110000,0.2513505
112500,0.15206341
115000,0.25713652
117500,0.24457869
120000,0.24405065
122500,0.2545724
125000,0.14788128
127500,0.111997426
130000,0.24713859
132500,-0.36896405
135000,0.24406767
137500,-0.35645932
140000,0.23069368
142500,0.2298655
145000,0.2617889
147500,0.2660614
150000,0.23047905
152500,0.26918572
155000,0.24533446
157500,0.24743977
160000,0.24743977
162500,0.24743977
165000,-0.35645932
167500,0.24743977
170000,0.24743977
172500,0.24743977
175000,0.26092622
177500,0.2513347
180000,0.24743977
182500,0.24743977
185000,0.24550298
187500,0.24733952
190000,0.2402204
192500,0.24743977
195000,-0.36106622
197500,-0.36106622
200000,0.24743977
202500,0.24743977
205000,0.24743977
207500,0.24743977
210000,-0.36896405
212500,0.24743977
215000,-0.36106622
217500,-0.36106622
220000,0.24743977
222500,0.24743977
225000,-0.36106622
227500,-0.36896405
230000,0.24743977
232500,0.24743977
235000,-0.36106622
237500,0.24743977
240000,0.24743977
242500,0.24743977
245000,0.24743977
247500,0.24743977
250000,-0.36896405
252500,0.24743977
255000,0.24743977
257500,0.24743977
260000,0.24743977
262500,0.24743977
265000,-0.36106622
267500,-0.36896405
270000,0.24743977
272500,-0.36896405
275000,0.24743977
277500,-0.35645932
280000,0.24743977
282500,0.24743977
285000,0.24743977
287500,0.24743977
290000,0.24743977
292500,0.24743977
295000,0.24743977
297500,0.24743977
300000,0.24743977
