"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.07.2010","26,43","27,15","27,43","26,28","4,70M","-2,62%"
"02.07.2010","26,52","26,70","26,77","26,38","2,92M","0,34%"
"05.07.2010","26,26","26,70","26,80","26,26","837,23K","-0,98%"
"06.07.2010","27,13","26,83","27,19","26,65","3,48M","3,31%"
"07.07.2010","27,53","27,11","27,66","26,74","4,04M","1,47%"
"08.07.2010","27,84","27,67","27,84","27,38","2,98M","1,13%"
"12.07.2010","27,55","27,86","27,99","27,41","1,84M","-1,04%"
"13.07.2010","27,30","27,67","27,75","27,19","2,93M","-0,91%"
"14.07.2010","27,39","27,15","27,52","27,02","1,88M","0,33%"
"15.07.2010","27,16","27,40","27,40","26,95","2,36M","-0,84%"
"16.07.2010","26,77","27,14","27,14","26,77","1,84M","-1,44%"
"19.07.2010","26,96","26,84","27,06","26,68","1,57M","0,71%"
"20.07.2010","27,93","26,86","27,97","26,67","3,27M","3,60%"
"21.07.2010","27,61","28,14","28,20","27,43","2,52M","-1,15%"
"22.07.2010","27,90","27,97","28,24","27,79","2,72M","1,05%"
"23.07.2010","27,82","27,93","28,00","27,58","1,87M","-0,29%"
"26.07.2010","27,95","27,83","28,06","27,72","1,16M","0,47%"
"27.07.2010","27,84","28,07","28,17","27,72","1,89M","-0,39%"
"28.07.2010","27,58","27,76","27,96","27,49","3,13M","-0,93%"
"29.07.2010","27,38","27,70","27,77","27,38","2,41M","-0,73%"
"30.07.2010","28,05","27,37","28,05","27,18","4,40M","2,45%"
"02.08.2010","28,79","28,36","28,99","28,17","2,94M","2,64%"
"03.08.2010","29,51","28,64","29,77","28,64","3,15M","2,50%"
"04.08.2010","29,86","29,72","29,98","29,44","5,65M","1,19%"
"05.08.2010","29,77","29,76","29,89","29,55","3,34M","-0,30%"
"06.08.2010","29,53","29,73","29,86","29,32","2,73M","-0,81%"
"09.08.2010","29,20","29,73","29,81","29,20","2,01M","-1,12%"
"10.08.2010","28,98","28,96","29,15","28,62","3,62M","-0,75%"
"11.08.2010","27,88","28,63","28,63","27,86","4,38M","-3,80%"
"12.08.2010","27,92","27,60","28,26","27,56","2,97M","0,14%"
"13.08.2010","27,98","27,92","28,12","27,78","2,51M","0,21%"
"16.08.2010","27,92","27,79","28,04","27,73","3,08M","-0,21%"
"17.08.2010","28,46","28,08","28,73","28,01","4,64M","1,93%"
"18.08.2010","27,76","28,37","28,45","27,62","4,92M","-2,46%"
"19.08.2010","26,74","27,04","27,31","26,67","5,85M","-3,67%"
"20.08.2010","26,69","26,67","26,91","26,35","5,42M","-0,19%"
"23.08.2010","26,59","26,90","26,90","26,52","3,18M","-0,37%"
"24.08.2010","26,04","26,34","26,74","25,99","2,88M","-2,07%"
"25.08.2010","26,20","25,99","26,23","25,41","3,96M","0,61%"
"26.08.2010","25,63","26,60","26,65","25,63","3,97M","-2,18%"
"27.08.2010","26,38","25,97","26,38","25,55","3,38M","2,93%"
"30.08.2010","25,68","26,03","26,21","25,51","2,59M","-2,65%"
"31.08.2010","26,07","25,55","26,07","25,48","6,72M","1,52%"
"01.09.2010","27,53","26,25","27,53","26,13","4,86M","5,60%"
"02.09.2010","27,52","27,10","28,37","26,99","6,51M","-0,04%"
"03.09.2010","28,81","28,24","28,90","28,02","10,24M","4,69%"
"06.09.2010","29,37","29,06","29,37","28,74","2,77M","1,94%"
"08.09.2010","28,07","28,49","28,67","27,91","5,26M","-4,43%"
"09.09.2010","27,53","28,17","28,22","27,16","6,10M","-1,92%"
"10.09.2010","27,33","27,55","27,80","27,26","6,96M","-0,73%"
"13.09.2010","27,89","27,72","28,09","27,44","6,48M","2,05%"
"14.09.2010","26,55","27,79","27,93","26,55","5,81M","-4,80%"
"15.09.2010","26,41","25,64","26,47","25,59","10,31M","-0,53%"
"16.09.2010","26,40","26,00","26,51","26,00","4,72M","-0,04%"
"17.09.2010","26,59","26,16","26,59","26,16","4,11M","0,72%"
"20.09.2010","27,13","26,54","27,30","26,22","5,06M","2,03%"
"21.09.2010","26,25","27,08","27,24","26,25","4,52M","-3,24%"
"22.09.2010","26,15","25,63","26,30","25,63","8,02M","-0,38%"
"23.09.2010","26,65","26,07","27,48","26,03","13,95M","1,91%"
"24.09.2010","26,12","26,69","26,78","25,97","14,89M","-1,99%"
"27.09.2010","26,65","26,12","26,82","25,92","20,62M","2,03%"
"28.09.2010","26,50","26,82","26,85","26,50","10,43M","-0,56%"
"29.09.2010","27,26","26,50","27,26","26,50","38,43M","2,87%"
"30.09.2010","26,78","27,18","27,55","26,67","15,39M","-1,76%"
"01.10.2010","26,96","26,96","27,18","26,74","6,69M","0,67%"
"04.10.2010","26,92","26,88","27,22","26,87","7,25M","-0,15%"
"05.10.2010","26,77","27,13","27,19","26,20","12,64M","-0,56%"
"06.10.2010","25,70","26,67","26,68","25,44","12,74M","-4,00%"
"07.10.2010","24,94","25,84","25,84","24,30","14,38M","-2,96%"
"08.10.2010","25,55","24,62","25,55","24,59","9,18M","2,45%"
"11.10.2010","25,32","25,55","25,68","25,21","4,04M","-0,90%"
"13.10.2010","25,19","25,52","25,52","25,06","7,65M","-0,51%"
"14.10.2010","25,63","25,19","25,68","24,90","14,48M","1,75%"
"15.10.2010","25,23","25,71","25,80","25,11","13,47M","-1,56%"
"18.10.2010","25,28","25,11","25,34","24,91","10,17M","0,20%"
"19.10.2010","24,36","24,89","25,04","23,77","7,85M","-3,64%"
"20.10.2010","24,22","24,45","24,55","24,22","5,74M","-0,57%"
"21.10.2010","23,50","24,18","24,33","23,41","10,27M","-2,97%"
"22.10.2010","23,56","23,78","23,99","23,21","8,47M","0,26%"
"25.10.2010","23,97","23,70","24,09","23,63","6,50M","1,74%"
"26.10.2010","25,06","23,91","25,27","23,76","8,59M","4,55%"
"27.10.2010","25,36","24,92","26,00","24,55","7,86M","1,20%"
"28.10.2010","25,37","25,67","25,85","25,08","7,44M","0,04%"
"29.10.2010","25,15","25,58","25,63","25,06","7,05M","-0,87%"
"01.11.2010","25,63","25,37","25,81","25,19","4,14M","1,91%"
"03.11.2010","25,94","25,93","26,10","25,68","8,10M","1,21%"
"04.11.2010","26,73","26,29","26,77","26,11","6,74M","3,05%"
"05.11.2010","26,51","26,56","26,85","26,47","3,38M","-0,82%"
"08.11.2010","26,81","26,34","26,84","26,34","3,33M","1,13%"
"09.11.2010","26,47","26,92","27,05","26,47","4,56M","-1,27%"
"10.11.2010","26,50","26,38","26,59","26,21","5,28M","0,11%"
"11.11.2010","26,11","26,40","26,45","26,02","4,11M","-1,47%"
"12.11.2010","25,24","25,76","25,93","25,22","4,11M","-3,33%"
"16.11.2010","24,75","25,23","25,26","24,52","5,83M","-1,94%"
"17.11.2010","24,86","24,78","25,06","24,67","2,84M","0,44%"
