"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.01.2010","35,99","36,03","36,17","35,77","4,90M","0,00%"
"05.01.2010","35,77","36,16","36,17","35,56","3,83M","-0,61%"
"06.01.2010","36,13","35,59","36,33","35,47","3,44M","1,01%"
"07.01.2010","35,91","35,87","37,04","35,69","2,80M","-0,61%"
"08.01.2010","35,64","36,12","36,17","35,55","3,12M","-0,75%"
"11.01.2010","35,68","35,87","36,20","35,53","3,40M","0,11%"
"12.01.2010","35,23","35,41","35,43","34,90","2,08M","-1,26%"
"13.01.2010","34,91","35,31","35,43","34,32","6,29M","-0,91%"
"14.01.2010","34,35","34,78","34,91","34,23","3,15M","-1,60%"
"15.01.2010","34,55","34,13","34,74","34,05","4,58M","0,58%"
"18.01.2010","35,34","34,65","35,57","34,63","2,26M","2,29%"
"19.01.2010","35,14","34,99","35,31","34,82","3,19M","-0,57%"
"20.01.2010","34,17","34,74","34,81","34,06","3,04M","-2,76%"
"21.01.2010","33,21","34,23","34,99","33,00","3,84M","-2,81%"
"22.01.2010","33,29","32,96","33,46","32,79","4,27M","0,24%"
"26.01.2010","32,70","32,62","32,93","32,19","4,43M","-1,77%"
"27.01.2010","32,83","32,69","33,09","32,19","3,05M","0,40%"
"28.01.2010","33,53","33,27","33,57","32,75","3,74M","2,13%"
"29.01.2010","33,02","33,69","34,05","32,80","4,21M","-1,52%"
"01.02.2010","33,11","33,26","33,38","32,88","2,93M","0,27%"
"02.02.2010","33,09","33,44","33,46","32,95","3,58M","-0,06%"
"03.02.2010","33,08","33,13","33,21","32,70","2,48M","-0,03%"
"04.02.2010","31,49","32,78","32,94","31,37","5,42M","-4,81%"
"05.02.2010","30,93","31,27","31,46","30,20","5,89M","-1,78%"
"08.02.2010","31,23","31,13","31,73","30,80","4,02M","0,97%"
"09.02.2010","31,76","31,62","32,03","31,37","8,54M","1,70%"
"10.02.2010","32,21","31,67","32,26","31,38","8,27M","1,42%"
"11.02.2010","32,67","32,50","33,01","32,06","7,44M","1,43%"
"12.02.2010","33,05","32,20","33,05","32,12","5,31M","1,16%"
"17.02.2010","33,17","33,31","33,40","32,81","4,40M","0,36%"
"18.02.2010","33,44","33,02","33,44","32,74","4,89M","0,81%"
"19.02.2010","33,35","33,11","33,47","32,96","4,28M","-0,27%"
"22.02.2010","33,59","33,60","33,70","33,27","4,96M","0,72%"
"23.02.2010","32,96","33,33","33,54","32,68","5,05M","-1,88%"
"24.02.2010","32,96","33,10","33,14","32,38","2,88M","0,00%"
"25.02.2010","33,11","32,39","33,11","32,12","5,66M","0,46%"
"26.02.2010","33,44","33,18","33,44","32,77","5,43M","1,00%"
"01.03.2010","33,74","33,54","33,74","33,01","4,75M","0,90%"
"02.03.2010","33,94","34,10","34,15","33,78","4,29M","0,59%"
"03.03.2010","34,05","34,06","34,61","33,91","5,05M","0,32%"
"04.03.2010","33,86","34,30","34,37","33,60","3,49M","-0,56%"
"05.03.2010","34,55","34,22","34,69","34,10","3,42M","2,04%"
"08.03.2010","34,54","34,57","34,73","34,25","3,29M","-0,03%"
"09.03.2010","35,18","34,30","35,43","34,28","6,84M","1,85%"
"10.03.2010","35,69","35,38","35,75","35,28","6,10M","1,45%"
"11.03.2010","35,69","35,58","36,03","35,46","3,78M","0,00%"
"12.03.2010","35,85","35,86","36,04","35,68","3,86M","0,45%"
"15.03.2010","35,50","35,57","35,91","35,17","5,70M","-0,98%"
"16.03.2010","35,89","35,69","35,89","35,29","3,14M","1,10%"
"17.03.2010","35,90","36,11","36,12","35,56","2,63M","0,03%"
"18.03.2010","35,77","35,80","36,12","35,43","4,73M","-0,36%"
"19.03.2010","35,04","35,74","35,77","34,99","10,96M","-2,04%"
"22.03.2010","35,04","34,56","35,04","34,13","3,47M","0,00%"
"23.03.2010","34,48","35,06","35,10","34,35","2,93M","-1,60%"
"24.03.2010","34,82","34,39","35,27","34,22","4,07M","0,99%"
"25.03.2010","34,09","34,99","35,12","34,04","3,38M","-2,10%"
"26.03.2010","33,91","34,33","34,35","33,54","6,68M","-0,53%"
"29.03.2010","34,09","34,13","34,45","33,47","3,77M","0,53%"
"30.03.2010","33,96","34,40","34,56","33,94","1,86M","-0,38%"
"31.03.2010","34,30","33,94","34,30","33,72","3,99M","1,00%"
"01.04.2010","34,69","34,43","34,76","34,43","2,52M","1,14%"
"05.04.2010","34,91","34,79","35,06","34,63","2,37M","0,63%"
"06.04.2010","35,07","34,76","35,29","34,74","2,31M","0,46%"
"07.04.2010","34,90","34,99","35,14","34,52","2,39M","-0,48%"
"08.04.2010","34,72","34,64","34,86","34,47","3,39M","-0,52%"
"09.04.2010","34,30","34,80","35,04","34,30","3,37M","-1,21%"
"12.04.2010","33,30","34,30","34,48","33,22","3,54M","-2,92%"
"13.04.2010","33,15","33,38","33,53","32,80","4,59M","-0,45%"
"14.04.2010","33,40","33,27","33,40","33,05","4,19M","0,75%"
"15.04.2010","32,81","33,52","33,52","32,64","3,37M","-1,77%"
"16.04.2010","32,03","32,61","32,65","31,88","4,15M","-2,38%"
"19.04.2010","32,57","31,83","32,62","31,69","3,83M","1,69%"
"20.04.2010","33,31","32,87","33,48","32,80","5,25M","2,27%"
"22.04.2010","32,92","33,01","33,17","32,49","3,73M","-1,17%"
"23.04.2010","33,30","32,92","33,53","32,82","2,32M","1,15%"
"26.04.2010","32,63","33,44","33,45","32,63","2,49M","-2,01%"
"27.04.2010","31,60","32,45","32,45","31,44","4,86M","-3,16%"
"28.04.2010","31,66","31,91","32,29","31,22","4,70M","0,19%"
"29.04.2010","32,26","32,14","32,32","31,84","3,42M","1,90%"
"30.04.2010","32,14","32,00","32,41","31,66","3,64M","-0,37%"
"03.05.2010","30,79","31,78","32,12","30,79","5,40M","-4,20%"
"04.05.2010","29,76","30,52","30,62","29,35","7,60M","-3,35%"
"05.05.2010","29,66","29,57","30,29","29,26","6,33M","-0,34%"
"06.05.2010","29,58","29,66","30,44","28,37","9,16M","-0,27%"
"07.05.2010","29,28","29,75","30,06","28,70","6,41M","-1,01%"
