Data;Data;Abertura;àxia;Õnia;˜ltio;Vol.;Vol.;Var%
25.06.2010;25.06.2010;27.62;28.32;27.51;28.03;3.33;3.33;1.26%
28.06.2010;28.06.2010;28.11;28.28;27.45;27.45;1.91;1.91;-2.07%
29.06.2010;29.06.2010;27.02;27.33;26.9;27.17;4.79;4.79;-1.02%
30.06.2010;30.06.2010;27.15;27.85;27.07;27.14;3.21;3.21;-0.11%
01.07.2010;01.07.2010;27.15;27.43;26.28;26.43;4.70;4.70;-2.62%
02.07.2010;02.07.2010;26.7;26.77;26.38;26.52;2.92;2.92;0.34%
05.07.2010;05.07.2010;26.7;26.8;26.26;26.26;837.23;837.23;-0.98%
06.07.2010;06.07.2010;26.83;27.19;26.65;27.13;3.48;3.48;3.31%
07.07.2010;07.07.2010;27.11;27.66;26.74;27.53;4.04;4.04;1.47%
08.07.2010;08.07.2010;27.67;27.84;27.38;27.84;2.98;2.98;1.13%
12.07.2010;12.07.2010;27.86;27.99;27.41;27.55;1.84;1.84;-1.04%
13.07.2010;13.07.2010;27.67;27.75;27.19;27.3;2.93;2.93;-0.91%
14.07.2010;14.07.2010;27.15;27.52;27.02;27.39;1.88;1.88;0.33%
15.07.2010;15.07.2010;27.4;27.4;26.95;27.16;2.36;2.36;-0.84%
16.07.2010;16.07.2010;27.14;27.14;26.77;26.77;1.84;1.84;-1.44%
19.07.2010;19.07.2010;26.84;27.06;26.68;26.96;1.57;1.57;0.71%
20.07.2010;20.07.2010;26.86;27.97;26.67;27.93;3.27;3.27;3.6%
21.07.2010;21.07.2010;28.14;28.2;27.43;27.61;2.52;2.52;-1.15%
22.07.2010;22.07.2010;27.97;28.24;27.79;27.9;2.72;2.72;1.05%
23.07.2010;23.07.2010;27.93;28;27.58;27.82;1.87;1.87;-0.29%
26.07.2010;26.07.2010;27.83;28.06;27.72;27.95;1.16;1.16;0.47%
27.07.2010;27.07.2010;28.07;28.17;27.72;27.84;1.89;1.89;-0.39%
28.07.2010;28.07.2010;27.76;27.96;27.49;27.58;3.13;3.13;-0.93%
29.07.2010;29.07.2010;27.7;27.77;27.38;27.38;2.41;2.41;-0.73%
30.07.2010;30.07.2010;27.37;28.05;27.18;28.05;4.40;4.40;2.45%
02.08.2010;02.08.2010;28.36;28.99;28.17;28.79;2.94;2.94;2.64%
03.08.2010;03.08.2010;28.64;29.77;28.64;29.51;3.15;3.15;2.5%
04.08.2010;04.08.2010;29.72;29.98;29.44;29.86;5.65;5.65;1.19%
05.08.2010;05.08.2010;29.76;29.89;29.55;29.77;3.34;3.34;-0.3%
06.08.2010;06.08.2010;29.73;29.86;29.32;29.53;2.73;2.73;-0.81%
09.08.2010;09.08.2010;29.73;29.81;29.2;29.2;2.01;2.01;-1.12%
10.08.2010;10.08.2010;28.96;29.15;28.62;28.98;3.62;3.62;-0.75%
11.08.2010;11.08.2010;28.63;28.63;27.86;27.88;4.38;4.38;-3.8%
12.08.2010;12.08.2010;27.6;28.26;27.56;27.92;2.97;2.97;0.14%
13.08.2010;13.08.2010;27.92;28.12;27.78;27.98;2.51;2.51;0.21%
16.08.2010;16.08.2010;27.79;28.04;27.73;27.92;3.08;3.08;-0.21%
17.08.2010;17.08.2010;28.08;28.73;28.01;28.46;4.64;4.64;1.93%
18.08.2010;18.08.2010;28.37;28.45;27.62;27.76;4.92;4.92;-2.46%
19.08.2010;19.08.2010;27.04;27.31;26.67;26.74;5.85;5.85;-3.67%
20.08.2010;20.08.2010;26.67;26.91;26.35;26.69;5.42;5.42;-0.19%
23.08.2010;23.08.2010;26.9;26.9;26.52;26.59;3.18;3.18;-0.37%
24.08.2010;24.08.2010;26.34;26.74;25.99;26.04;2.88;2.88;-2.07%
25.08.2010;25.08.2010;25.99;26.23;25.41;26.2;3.96;3.96;0.61%
26.08.2010;26.08.2010;26.6;26.65;25.63;25.63;3.97;3.97;-2.18%
27.08.2010;27.08.2010;25.97;26.38;25.55;26.38;3.38;3.38;2.93%
30.08.2010;30.08.2010;26.03;26.21;25.51;25.68;2.59;2.59;-2.65%
31.08.2010;31.08.2010;25.55;26.07;25.48;26.07;6.72;6.72;1.52%
01.09.2010;01.09.2010;26.25;27.53;26.13;27.53;4.86;4.86;5.6%
02.09.2010;02.09.2010;27.1;28.37;26.99;27.52;6.51;6.51;-0.04%
03.09.2010;03.09.2010;28.24;28.9;28.02;28.81;10.24;10.24;4.69%
06.09.2010;06.09.2010;29.06;29.37;28.74;29.37;2.77;2.77;1.94%
08.09.2010;08.09.2010;28.49;28.67;27.91;28.07;5.26;5.26;-4.43%
09.09.2010;09.09.2010;28.17;28.22;27.16;27.53;6.10;6.10;-1.92%
10.09.2010;10.09.2010;27.55;27.8;27.26;27.33;6.96;6.96;-0.73%
13.09.2010;13.09.2010;27.72;28.09;27.44;27.89;6.48;6.48;2.05%
14.09.2010;14.09.2010;27.79;27.93;26.55;26.55;5.81;5.81;-4.8%
15.09.2010;15.09.2010;25.64;26.47;25.59;26.41;10.31;10.31;-0.53%
16.09.2010;16.09.2010;26;26.51;26;26.4;4.72;4.72;-0.04%
17.09.2010;17.09.2010;26.16;26.59;26.16;26.59;4.11;4.11;0.72%
20.09.2010;20.09.2010;26.54;27.3;26.22;27.13;5.06;5.06;2.03%
21.09.2010;21.09.2010;27.08;27.24;26.25;26.25;4.52;4.52;-3.24%
22.09.2010;22.09.2010;25.63;26.3;25.63;26.15;8.02;8.02;-0.38%
23.09.2010;23.09.2010;26.07;27.48;26.03;26.65;13.95;13.95;1.91%
24.09.2010;24.09.2010;26.69;26.78;25.97;26.12;14.89;14.89;-1.99%
27.09.2010;27.09.2010;26.12;26.82;25.92;26.65;20.62;20.62;2.03%
28.09.2010;28.09.2010;26.82;26.85;26.5;26.5;10.43;10.43;-0.56%
29.09.2010;29.09.2010;26.5;27.26;26.5;27.26;38.43;38.43;2.87%
30.09.2010;30.09.2010;27.18;27.55;26.67;26.78;15.39;15.39;-1.76%
01.10.2010;01.10.2010;26.96;27.18;26.74;26.96;6.69;6.69;0.67%
04.10.2010;04.10.2010;26.88;27.22;26.87;26.92;7.25;7.25;-0.15%
05.10.2010;05.10.2010;27.13;27.19;26.2;26.77;12.64;12.64;-0.56%
06.10.2010;06.10.2010;26.67;26.68;25.44;25.7;12.74;12.74;-4%
07.10.2010;07.10.2010;25.84;25.84;24.3;24.94;14.38;14.38;-2.96%
08.10.2010;08.10.2010;24.62;25.55;24.59;25.55;9.18;9.18;2.45%
11.10.2010;11.10.2010;25.55;25.68;25.21;25.32;4.04;4.04;-0.9%
13.10.2010;13.10.2010;25.52;25.52;25.06;25.19;7.65;7.65;-0.51%
14.10.2010;14.10.2010;25.19;25.68;24.9;25.63;14.48;14.48;1.75%
15.10.2010;15.10.2010;25.71;25.8;25.11;25.23;13.47;13.47;-1.56%
18.10.2010;18.10.2010;25.11;25.34;24.91;25.28;10.17;10.17;0.2%
19.10.2010;19.10.2010;24.89;25.04;23.77;24.36;7.85;7.85;-3.64%
20.10.2010;20.10.2010;24.45;24.55;24.22;24.22;5.74;5.74;-0.57%
21.10.2010;21.10.2010;24.18;24.33;23.41;23.5;10.27;10.27;-2.97%
22.10.2010;22.10.2010;23.78;23.99;23.21;23.56;8.47;8.47;0.26%
25.10.2010;25.10.2010;23.7;24.09;23.63;23.97;6.50;6.50;1.74%
26.10.2010;26.10.2010;23.91;25.27;23.76;25.06;8.59;8.59;4.55%
27.10.2010;27.10.2010;24.92;26;24.55;25.36;7.86;7.86;1.2%
28.10.2010;28.10.2010;25.67;25.85;25.08;25.37;7.44;7.44;0.04%
29.10.2010;29.10.2010;25.58;25.63;25.06;25.15;7.05;7.05;-0.87%
01.11.2010;01.11.2010;25.37;25.81;25.19;25.63;4.14;4.14;1.91%
03.11.2010;03.11.2010;25.93;26.1;25.68;25.94;8.10;8.10;1.21%
04.11.2010;04.11.2010;26.29;26.77;26.11;26.73;6.74;6.74;3.05%
05.11.2010;05.11.2010;26.56;26.85;26.47;26.51;3.38;3.38;-0.82%
08.11.2010;08.11.2010;26.34;26.84;26.34;26.81;3.33;3.33;1.13%
09.11.2010;09.11.2010;26.92;27.05;26.47;26.47;4.56;4.56;-1.27%
10.11.2010;10.11.2010;26.38;26.59;26.21;26.5;5.28;5.28;0.11%
11.11.2010;11.11.2010;26.4;26.45;26.02;26.11;4.11;4.11;-1.47%
12.11.2010;12.11.2010;25.76;25.93;25.22;25.24;4.11;4.11;-3.33%
16.11.2010;16.11.2010;25.23;25.26;24.52;24.75;5.83;5.83;-1.94%
17.11.2010;17.11.2010;24.78;25.06;24.67;24.86;2.84;2.84;0.44%
18.11.2010;18.11.2010;25.31;25.41;25.01;25.25;3.71;3.71;1.57%
