Data;Data;Abertura;maxima;minima;ultimo;Vol.;Vol.;Var%
22.12.2009;22.12.2009;35.08;35.43;34.78;35.43;3.78;3.78;1.99%
23.12.2009;23.12.2009;35.21;35.67;34.91;35.56;3.14;3.14;0.37%
28.12.2009;28.12.2009;35.82;35.86;35.43;35.56;0.9925;0.9925;0.0%
29.12.2009;29.12.2009;35.82;35.91;35.46;35.91;2.09;2.09;0.98%
30.12.2009;30.12.2009;35.35;35.99;35.34;35.99;3.71;3.71;0.22%
04.01.2010;04.01.2010;36.03;36.17;35.77;35.99;4.9;4.9;0.00%
05.01.2010;05.01.2010;36.16;36.17;35.56;35.77;3.83;3.83;-0.61%
06.01.2010;06.01.2010;35.59;36.33;35.47;36.13;3.44;3.44;1.01%
07.01.2010;07.01.2010;35.87;37.04;35.69;35.91;2.8;2.8;-0.61%
08.01.2010;08.01.2010;36.12;36.17;35.55;35.64;3.12;3.12;-0.75%
11.01.2010;11.01.2010;35.87;36.2;35.53;35.68;3.4;3.4;0.11%
12.01.2010;12.01.2010;35.41;35.43;34.9;35.23;2.08;2.08;-1.26%
13.01.2010;13.01.2010;35.31;35.43;34.32;34.91;6.29;6.29;-0.91%
14.01.2010;14.01.2010;34.78;34.91;34.23;34.35;3.15;3.15;-1.6%
15.01.2010;15.01.2010;34.13;34.74;34.05;34.55;4.58;4.58;0.58%
18.01.2010;18.01.2010;34.65;35.57;34.63;35.34;2.26;2.26;2.29%
19.01.2010;19.01.2010;34.99;35.31;34.82;35.14;3.19;3.19;-0.57%
20.01.2010;20.01.2010;34.74;34.81;34.06;34.17;3.04;3.04;-2.76%
21.01.2010;21.01.2010;34.23;34.99;33;33.21;3.84;3.84;-2.81%
22.01.2010;22.01.2010;32.96;33.46;32.79;33.29;4.27;4.27;0.24%
26.01.2010;26.01.2010;32.62;32.93;32.19;32.7;4.43;4.43;-1.77%
27.01.2010;27.01.2010;32.69;33.09;32.19;32.83;3.05;3.05;0.4%
28.01.2010;28.01.2010;33.27;33.57;32.75;33.53;3.74;3.74;2.13%
29.01.2010;29.01.2010;33.69;34.05;32.8;33.02;4.21;4.21;-1.52%
01.02.2010;01.02.2010;33.26;33.38;32.88;33.11;2.93;2.93;0.27%
02.02.2010;02.02.2010;33.44;33.46;32.95;33.09;3.58;3.58;-0.06%
03.02.2010;03.02.2010;33.13;33.21;32.7;33.08;2.48;2.48;-0.03%
04.02.2010;04.02.2010;32.78;32.94;31.37;31.49;5.42;5.42;-4.81%
05.02.2010;05.02.2010;31.27;31.46;30.2;30.93;5.89;5.89;-1.78%
08.02.2010;08.02.2010;31.13;31.73;30.8;31.23;4.02;4.02;0.97%
09.02.2010;09.02.2010;31.62;32.03;31.37;31.76;8.54;8.54;1.7%
10.02.2010;10.02.2010;31.67;32.26;31.38;32.21;8.27;8.27;1.42%
11.02.2010;11.02.2010;32.5;33.01;32.06;32.67;7.44;7.44;1.43%
12.02.2010;12.02.2010;32.2;33.05;32.12;33.05;5.31;5.31;1.16%
17.02.2010;17.02.2010;33.31;33.4;32.81;33.17;4.4;4.4;0.36%
18.02.2010;18.02.2010;33.02;33.44;32.74;33.44;4.89;4.89;0.81%
19.02.2010;19.02.2010;33.11;33.47;32.96;33.35;4.28;4.28;-0.27%
22.02.2010;22.02.2010;33.6;33.7;33.27;33.59;4.96;4.96;0.72%
23.02.2010;23.02.2010;33.33;33.54;32.68;32.96;5.05;5.05;-1.88%
24.02.2010;24.02.2010;33.1;33.14;32.38;32.96;2.88;2.88;0.00%
25.02.2010;25.02.2010;32.39;33.11;32.12;33.11;5.66;5.66;0.46%
26.02.2010;26.02.2010;33.18;33.44;32.77;33.44;5.43;5.43;1.00%
01.03.2010;01.03.2010;33.54;33.74;33.01;33.74;4.75;4.75;0.9%
02.03.2010;02.03.2010;34.1;34.15;33.78;33.94;4.29;4.29;0.59%
03.03.2010;03.03.2010;34.06;34.61;33.91;34.05;5.05;5.05;0.32%
04.03.2010;04.03.2010;34.3;34.37;33.6;33.86;3.49;3.49;-0.56%
05.03.2010;05.03.2010;34.22;34.69;34.1;34.55;3.42;3.42;2.04%
08.03.2010;08.03.2010;34.57;34.73;34.25;34.54;3.29;3.29;-0.03%
09.03.2010;09.03.2010;34.3;35.43;34.28;35.18;6.84;6.84;1.85%
10.03.2010;10.03.2010;35.38;35.75;35.28;35.69;6.1;6.1;1.45%
11.03.2010;11.03.2010;35.58;36.03;35.46;35.69;3.78;3.78;0.00%
12.03.2010;12.03.2010;35.86;36.04;35.68;35.85;3.86;3.86;0.45%
15.03.2010;15.03.2010;35.57;35.91;35.17;35.5;5.7;5.7;-0.98%
16.03.2010;16.03.2010;35.69;35.89;35.29;35.89;3.14;3.14;1.1%
17.03.2010;17.03.2010;36.11;36.12;35.56;35.9;2.63;2.63;0.03%
18.03.2010;18.03.2010;35.8;36.12;35.43;35.77;4.73;4.73;-0.36%
19.03.2010;19.03.2010;35.74;35.77;34.99;35.04;10.96;10.96;-2.04%
22.03.2010;22.03.2010;34.56;35.04;34.13;35.04;3.47;3.47;0.00%
23.03.2010;23.03.2010;35.06;35.1;34.35;34.48;2.93;2.93;-1.6%
24.03.2010;24.03.2010;34.39;35.27;34.22;34.82;4.07;4.07;0.99%
25.03.2010;25.03.2010;34.99;35.12;34.04;34.09;3.38;3.38;-2.1%
26.03.2010;26.03.2010;34.33;34.35;33.54;33.91;6.68;6.68;-0.53%
29.03.2010;29.03.2010;34.13;34.45;33.47;34.09;3.77;3.77;0.53%
30.03.2010;30.03.2010;34.4;34.56;33.94;33.96;1.86;1.86;-0.38%
31.03.2010;31.03.2010;33.94;34.3;33.72;34.3;3.99;3.99;1.00%
01.04.2010;01.04.2010;34.43;34.76;34.43;34.69;2.52;2.52;1.14%
05.04.2010;05.04.2010;34.79;35.06;34.63;34.91;2.37;2.37;0.63%
06.04.2010;06.04.2010;34.76;35.29;34.74;35.07;2.31;2.31;0.46%
07.04.2010;07.04.2010;34.99;35.14;34.52;34.9;2.39;2.39;-0.48%
08.04.2010;08.04.2010;34.64;34.86;34.47;34.72;3.39;3.39;-0.52%
09.04.2010;09.04.2010;34.8;35.04;34.3;34.3;3.37;3.37;-1.21%
12.04.2010;12.04.2010;34.3;34.48;33.22;33.3;3.54;3.54;-2.92%
13.04.2010;13.04.2010;33.38;33.53;32.8;33.15;4.59;4.59;-0.45%
14.04.2010;14.04.2010;33.27;33.4;33.05;33.4;4.19;4.19;0.75%
15.04.2010;15.04.2010;33.52;33.52;32.64;32.81;3.37;3.37;-1.77%
16.04.2010;16.04.2010;32.61;32.65;31.88;32.03;4.15;4.15;-2.38%
19.04.2010;19.04.2010;31.83;32.62;31.69;32.57;3.83;3.83;1.69%
20.04.2010;20.04.2010;32.87;33.48;32.8;33.31;5.25;5.25;2.27%
22.04.2010;22.04.2010;33.01;33.17;32.49;32.92;3.73;3.73;-1.17%
23.04.2010;23.04.2010;32.92;33.53;32.82;33.3;2.32;2.32;1.15%
26.04.2010;26.04.2010;33.44;33.45;32.63;32.63;2.49;2.49;-2.01%
27.04.2010;27.04.2010;32.45;32.45;31.44;31.6;4.86;4.86;-3.16%
28.04.2010;28.04.2010;31.91;32.29;31.22;31.66;4.7;4.7;0.19%
29.04.2010;29.04.2010;32.14;32.32;31.84;32.26;3.42;3.42;1.9%
30.04.2010;30.04.2010;32;32.41;31.66;32.14;3.64;3.64;-0.37%
03.05.2010;03.05.2010;31.78;32.12;30.79;30.79;5.4;5.4;-4.2%
04.05.2010;04.05.2010;30.52;30.62;29.35;29.76;7.6;7.6;-3.35%
05.05.2010;05.05.2010;29.57;30.29;29.26;29.66;6.33;6.33;-0.34%
06.05.2010;06.05.2010;29.66;30.44;28.37;29.58;9.16;9.16;-0.27%
07.05.2010;07.05.2010;29.75;30.06;28.7;29.28;6.41;6.41;-1.01%
10.05.2010;10.05.2010;30.53;30.71;29.64;29.78;4.43;4.43;1.71%
11.05.2010;11.05.2010;29.57;29.8;29.16;29.16;3.08;3.08;-2.08%
12.05.2010;12.05.2010;29.57;29.66;29.25;29.45;4.08;4.08;0.99%
13.05.2010;13.05.2010;29.66;29.86;28.79;29.49;4.16;4.16;0.14%
14.05.2010;14.05.2010;29.18;29.6;28.71;29.6;4.99;4.99;0.37%
17.05.2010;17.05.2010;29.57;29.79;28.87;29.25;5.28;5.28;-1.18%
18.05.2010;18.05.2010;29.5;29.57;28.57;28.63;3.06;3.06;-2.12%
19.05.2010;19.05.2010;28.59;28.88;28;28;5.13;5.13;-2.2%
20.05.2010;20.05.2010;27.57;27.83;27.02;27.02;7.56;7.56;-3.5%
21.05.2010;21.05.2010;27.1;27.83;26.84;27.35;6.68;6.68;1.22%
24.05.2010;24.05.2010;27.43;27.65;27.05;27.05;2.82;2.82;-1.1%
25.05.2010;25.05.2010;26.26;26.78;25.84;26.6;5.62;5.62;-1.66%
26.05.2010;26.05.2010;27.01;27.69;26.88;27.18;4.79;4.79;2.18%
27.05.2010;27.05.2010;27.75;28.27;27.75;28.05;4.62;4.62;3.2%
28.05.2010;28.05.2010;28.06;28.43;27.93;28.37;4.84;4.84;1.14%
31.05.2010;31.05.2010;28.24;29.83;28.24;29.83;3.84;3.84;5.15%
01.06.2010;01.06.2010;29.11;29.69;28.67;28.87;7.45;7.45;-3.22%
02.06.2010;02.06.2010;28.7;29.49;28.67;29.17;2.98;2.98;1.04%
04.06.2010;04.06.2010;29.01;30.12;28.8;29.59;5.12;5.12;1.44%
07.06.2010;07.06.2010;29.68;30.29;29.59;29.76;4.34;4.34;0.57%
08.06.2010;08.06.2010;29.92;30.29;29.74;30.11;3.61;3.61;1.18%
09.06.2010;09.06.2010;30.35;31.06;30.2;30.25;4.58;4.58;0.46%
10.06.2010;10.06.2010;30.76;31.03;30.33;30.59;4.69;4.69;1.12%
11.06.2010;11.06.2010;30.25;30.52;30.02;30.25;3.23;3.23;-1.11%
14.06.2010;14.06.2010;30.64;30.64;29.47;29.47;3.29;3.29;-2.58%
15.06.2010;15.06.2010;29.6;29.76;29.22;29.66;2.58;2.58;0.64%
16.06.2010;16.06.2010;29.46;30.38;29.33;30.27;5.36;5.36;2.06%
17.06.2010;17.06.2010;30.16;30.44;29.8;30.11;5.07;5.07;-0.53%
18.06.2010;18.06.2010;30.2;30.2;29.69;29.98;3.5;3.5;-0.43%
21.06.2010;21.06.2010;30.16;30.55;29.81;29.91;5.7;5.7;-0.23%
22.06.2010;22.06.2010;29.97;30.08;29.1;29.1;5.76;5.76;-2.71%
23.06.2010;23.06.2010;29.29;29.48;28.41;28.56;7.42;7.42;-1.86%
24.06.2010;24.06.2010;28.44;28.44;27.66;27.68;5.49;5.49;-3.08%
25.06.2010;25.06.2010;27.62;28.32;27.51;28.03;3.33;3.33;1.26%
