Data;Último;Abertura;Máxima;Mínima;Vol.;Var
03.01.2011;27.01;27.38;27.52;26.85;5.07;-0.0081
04.01.2011;26.8;27.01;27.1;26.33;10.07;-0.0078
05.01.2011;27.3;26.56;27.34;26.48;5.51;0.0187
06.01.2011;27.14;27.23;27.5;27.02;6.89;-0.0059
07.01.2011;26.74;27.09;27.2;26.66;5.35;-0.0147
10.01.2011;26.93;26.69;27.07;26.52;5.29;0.0071
11.01.2011;27.19;27.05;27.41;26.97;6.86;0.0097
12.01.2011;28.05;27.25;28.15;27.25;8.14;0.0316
13.01.2011;27.19;28.12;28.31;27.19;6.29;-0.0307
14.01.2011;27.43;27.22;27.63;26.92;3.17;0.0088
17.01.2011;27.16;27.47;27.48;27.16;4.36;-0.0098
18.01.2011;27.59;27.43;27.59;27.2;6.12;0.0158
19.01.2011;26.87;27.63;27.68;26.87;4.46;-0.0261
20.01.2011;26.83;26.84;27.14;26.45;5.36;-0.0015
21.01.2011;26.63;26.92;27.1;26.57;4.93;-0.0075
24.01.2011;26.75;26.83;26.9;26.32;4.41;0.0045
26.01.2011;26.3;26.73;27.05;26.23;5.2;-0.0168
27.01.2011;26.4;26.39;26.69;26.2;4.82;0.0038
28.01.2011;26.16;26.4;26.58;25.82;4.92;-0.0091
31.01.2011;26.79;26.34;26.82;26.13;7.87;0.0241
01.02.2011;27.36;26.92;27.41;26.81;7.14;0.0213
02.02.2011;27.63;27.38;27.98;27.22;10.23;0.0099
03.02.2011;28.1;27.61;28.18;27.59;8.7;0.017
04.02.2011;27.63;27.95;28.21;27.62;5.86;-0.0167
07.02.2011;27.2;27.81;27.93;27.2;4.16;-0.0156
08.02.2011;26.76;27.11;27.46;26.76;7.51;-0.0162
09.02.2011;25.96;26.79;26.88;25.96;4.28;-0.0299
10.02.2011;26.23;25.93;26.71;25.93;4.52;0.0104
11.02.2011;26.36;26.39;26.72;26.18;3.69;0.005
14.02.2011;26.89;26.39;27.07;26.27;3.7;0.0201
15.02.2011;27.3;26.71;27.75;26.56;7.43;0.0152
16.02.2011;27.55;27.71;27.81;27.32;4.52;0.0092
17.02.2011;27.32;27.63;27.72;27.24;2.38;-0.0083
18.02.2011;27.58;27.25;27.71;27.25;3.22;0.0095
21.02.2011;27.59;27.59;27.85;27.47;1.82;0.0004
22.02.2011;28.12;27.71;28.47;27.68;11.66;0.0192
23.02.2011;29.43;28.3;29.68;28.18;16.46;0.0466
24.02.2011;28.89;30.01;30.24;28.81;11.34;-0.0183
25.02.2011;29.29;28.97;29.33;28.53;7.55;0.0138
28.02.2011;29.06;29.05;29.22;28.52;8.04;-0.0079
01.03.2011;28.66;28.99;29.33;28.54;5.23;-0.0138
02.03.2011;29.6;28.88;29.68;28.57;7.58;0.0328
03.03.2011;29.56;29.59;29.73;29.18;4.31;-0.0014
