Data,Close,Recompensa,RecompensaAcumulada,Estado,Retorno,RetornoAcumulado
2011-01-05,27.3,0.0,0.0,3,-0.0187,0.0
2011-01-06,27.14,-0.0187,0.0,2.0,0.006,-0.0187
2011-01-07,26.74,-0.0127,-1.8657,2.0,0.0149,-0.0127
2011-01-10,26.93,0.0022,-3.1343,2.0,-0.0071,0.0022
2011-01-11,27.19,0.0,-2.9105,3.0,-0.0097,-0.0049
2011-01-12,28.05,-0.0097,-2.9105,2.0,-0.0319,-0.0145
2011-01-13,27.19,-0.0416,-3.8759,2.0,0.0319,-0.0464
2011-01-14,27.43,0.0,-8.0348,3.0,-0.0088,-0.0145
2011-01-17,27.16,-0.0088,-8.0348,2.0,0.0099,-0.0233
2011-01-18,27.59,0.0011,-8.9175,2.0,-0.0158,-0.0134
2011-01-19,26.87,-0.0147,-8.8072,2.0,0.0265,-0.0292
2011-01-20,26.83,0.0118,-10.2783,2.0,0.0015,-0.0027
2011-01-21,26.63,0.0132,-9.1014,2.0,0.0074,-0.0013
2011-01-24,26.75,0.0206,-7.7774,2.0,-0.0044,0.0061
2011-01-26,26.3,0.0162,-5.7178,2.0,0.0166,0.0017
2011-01-27,26.4,0.0327,-4.0996,2.0,-0.0037,0.0182
2011-01-28,26.16,0.0291,-0.8263,2.0,0.0088,0.0145
2011-01-31,26.79,0.0379,2.0792,2.0,-0.0232,0.0234
2011-02-01,27.36,0.0147,5.8673,2.0,-0.021,0.0002
2011-02-02,27.63,-0.0063,7.3385,2.0,-0.0099,-0.0208
2011-02-03,28.1,-0.0162,6.7132,2.0,-0.0173,-0.0307
2011-02-04,27.63,-0.0335,5.095,2.0,0.0173,-0.048
2011-02-07,27.2,-0.0162,1.7482,2.0,0.0158,-0.0307
2011-02-08,26.76,0.0,0.13,3.0,0.0162,-0.0149
2011-02-09,25.96,0.0162,0.13,2.0,0.0294,0.0013
2011-02-10,26.23,0.0456,1.7476,2.0,-0.0099,0.0307
2011-02-11,26.36,0.0357,6.3064,2.0,-0.0048,0.0208
2011-02-14,26.89,0.0309,9.8726,2.0,-0.0195,0.016
2011-02-15,27.3,0.0114,12.9609,2.0,-0.0151,-0.0035
2011-02-16,27.55,-0.0037,14.1006,2.0,-0.0092,-0.0185
2011-02-17,27.32,-0.0129,13.7329,2.0,0.0085,-0.0277
2011-02-18,27.58,-0.0044,12.4462,2.0,-0.0096,-0.0193
2011-02-21,27.59,0.0,12.005,3.0,-0.0004,-0.0288
2011-02-22,28.12,-0.0004,12.005,2.0,-0.0192,-0.0292
2011-02-23,29.43,-0.0196,11.9687,2.0,-0.0475,-0.0484
2011-02-24,28.89,-0.0671,10.0108,2.0,0.0196,-0.0959
2011-02-25,29.29,0.0,3.303,3.0,-0.0138,-0.0763
2011-02-28,29.06,-0.0138,3.303,2.0,0.008,-0.0902
2011-03-01,28.66,-0.0059,1.9185,2.0,0.0138,-0.0822
2011-03-02,29.6,0.008,1.33,2.0,-0.0325,-0.0684
2011-03-03,29.56,-0.0246,2.1261,2.0,0.0014,-0.1009
2011-03-04,30.0,-0.0232,-0.3315,2.0,-0.0152,-0.0995
2011-03-09,29.25,-0.0384,-2.6506,2.0,0.026,-0.1148
2011-03-10,28.61,-0.0125,-6.4928,2.0,0.0222,-0.0888
2011-03-11,28.72,0.0,-7.7389,3.0,-0.0038,-0.0667
2011-03-14,28.93,-0.0038,-7.7389,2.0,-0.0073,-0.0705
2011-03-15,28.64,-0.0112,-8.1234,2.0,0.0101,-0.0778
2011-03-16,28.35,-0.001,-9.2418,2.0,0.0101,-0.0677
2011-03-17,28.72,0.0091,-9.3467,2.0,-0.0129,-0.0576
2011-03-18,28.5,0.0,-8.4379,3.0,0.0077,-0.0705
2011-03-21,28.75,0.0077,-8.4379,2.0,-0.0087,-0.0628
2011-03-22,29.21,-0.001,-7.6719,2.0,-0.016,-0.0715
2011-03-23,29.56,-0.0171,-7.7764,2.0,-0.0122,-0.0876
2011-03-24,29.35,0.0,-9.4825,3.0,0.0071,-0.0997
2011-03-25,29.57,0.0071,-9.4825,2.0,-0.0074,-0.0926
2011-03-28,29.13,-0.0003,-8.7721,2.0,0.0149,-0.1001
2011-03-29,29.05,0.0145,-8.8059,2.0,0.0027,-0.0852
2011-03-30,29.05,0.0173,-7.3512,2.0,0.0,-0.0825
2011-03-31,29.23,0.0173,-5.6259,2.0,-0.0061,-0.0825
2011-04-01,29.65,0.0112,-3.9006,2.0,-0.0142,-0.0886
2011-04-04,29.39,-0.003,-2.7843,2.0,0.0088,-0.1028
2011-04-05,28.97,0.0058,-3.0887,2.0,0.0142,-0.094
2011-04-06,28.75,0.0,-2.5136,3.0,0.0076,-0.0798
2011-04-07,28.36,0.0076,-2.5136,2.0,0.0135,-0.0722
2011-04-08,28.2,0.0211,-1.7542,2.0,0.0055,-0.0587
