Iteracao,Recompensa
2500,0.32751662
5000,0.5189092
7500,1.5026153
10000,2.2557178
12500,0.9916853
15000,3.3786554
17500,1.7757313
20000,0.9993675
22500,1.5054477
25000,2.8194606
27500,1.0633756
30000,3.2710943
32500,1.2332529
35000,1.8921492
37500,3.6204836
40000,2.4495234
42500,1.3059148
45000,1.9087638
47500,1.4191356
50000,11.762224
52500,3.7736373
55000,2.7814445
57500,5.289711
60000,3.7482126
62500,10.764567
65000,9.154217
67500,2.0307887
70000,6.0880995
72500,4.7045608
75000,4.251863
77500,12.99405
80000,3.882734
82500,12.342135
85000,3.847862
87500,8.280653
90000,3.5276077
92500,4.493545
95000,16.611
97500,16.62782
100000,9.1188545
102500,5.694352
105000,6.958397
107500,12.527729
110000,9.418664
112500,5.479868
115000,16.891125
117500,14.023839
120000,8.140308
122500,13.893224
125000,8.842632
127500,8.140308
130000,14.023839
132500,14.023839
135000,4.653514
137500,14.023839
140000,14.023839
142500,14.023839
145000,14.023839
147500,14.023839
150000,14.023839
152500,14.023839
155000,14.023839
157500,14.023839
160000,14.023839
162500,14.023839
165000,13.070129
167500,10.51944
170000,14.023839
172500,14.023839
175000,14.023839
177500,16.669199
180000,16.586033
182500,16.669199
185000,16.669199
187500,6.074027
190000,16.669199
192500,16.669199
195000,16.669199
197500,16.669199
200000,16.669199
202500,16.669199
205000,16.669199
207500,16.669199
210000,16.669199
212500,16.669199
215000,16.669199
217500,16.669199
220000,16.669199
222500,16.669199
225000,16.669199
227500,16.669199
230000,16.669199
232500,16.669199
235000,16.669199
237500,16.669199
240000,16.669199
242500,16.669199
245000,16.669199
247500,16.669199
250000,16.669199
252500,16.669199
255000,16.669199
257500,16.669199
260000,16.669199
262500,16.669199
265000,16.669199
267500,16.669199
270000,16.669199
272500,16.669199
275000,16.669199
277500,16.669199
280000,16.669199
282500,16.669199
285000,16.669199
287500,16.669199
290000,16.669199
292500,16.669199
295000,16.669199
297500,16.669199
300000,16.669199
