Data;Data;Abertura;àxia;Õnia;˜ltio;Vol.;Vol.;Var%
26.06.2015;26.06.2015;10.65;10.71;10.44;10.7;2.46;2.46;0.94%
29.06.2015;29.06.2015;10.74;10.74;10.02;10.24;2.65;2.65;-4.3%
30.06.2015;30.06.2015;10.28;10.3;10;10.24;2.61;2.61;0.00%
01.07.2015;01.07.2015;10.29;10.3;10.05;10.15;4.66;4.66;-0.88%
02.07.2015;02.07.2015;10.2;10.47;10.13;10.39;1.99;1.99;2.36%
03.07.2015;03.07.2015;10.38;10.41;10.12;10.3;1.33;1.33;-0.87%
06.07.2015;06.07.2015;10.15;10.32;10.07;10.2;3.82;3.82;-0.97%
07.07.2015;07.07.2015;10.15;10.27;10;10.25;3.10;3.10;0.49%
08.07.2015;08.07.2015;10.19;10.26;9.81;9.86;12.20;12.20;-3.8%
10.07.2015;10.07.2015;9.9;9.95;9.54;9.58;3.34;3.34;-2.84%
13.07.2015;13.07.2015;9.58;9.89;9.58;9.85;1.82;1.82;2.82%
14.07.2015;14.07.2015;9.85;9.89;9.73;9.81;1.97;1.97;-0.41%
15.07.2015;15.07.2015;9.75;9.86;9.5;9.73;2.31;2.31;-0.82%
16.07.2015;16.07.2015;9.8;10.04;9.2;9.35;4.17;4.17;-3.91%
17.07.2015;17.07.2015;9.33;9.54;9.3;9.41;2.67;2.67;0.64%
20.07.2015;20.07.2015;9.4;9.46;9.19;9.19;1.42;1.42;-2.34%
21.07.2015;21.07.2015;9.25;9.35;9.13;9.34;1.88;1.88;1.63%
22.07.2015;22.07.2015;9.22;9.34;9.04;9.15;1.71;1.71;-2.03%
23.07.2015;23.07.2015;9.09;9.32;8.94;9.23;3.92;3.92;0.87%
24.07.2015;24.07.2015;9.19;9.28;8.94;8.99;2.51;2.51;-2.6%
27.07.2015;27.07.2015;8.94;9.11;8.88;9.11;3.19;3.19;1.33%
28.07.2015;28.07.2015;9.17;9.23;8.81;8.87;8.37;8.37;-2.63%
29.07.2015;29.07.2015;8.82;9.19;8.82;8.96;3.60;3.60;1.01%
30.07.2015;30.07.2015;9;9.16;8.96;9.12;3.47;3.47;1.79%
31.07.2015;31.07.2015;9.12;9.39;9.09;9.39;2.09;2.09;2.96%
03.08.2015;03.08.2015;9.32;9.48;9.15;9.28;2.67;2.67;-1.17%
04.08.2015;04.08.2015;9.34;9.46;9.03;9.09;2.03;2.03;-2.05%
05.08.2015;05.08.2015;9;9.48;8.77;9.45;5.93;5.93;3.96%
06.08.2015;06.08.2015;9.33;9.66;9.22;9.38;3.46;3.46;-0.74%
07.08.2015;07.08.2015;9.26;9.45;8.99;9.07;3.44;3.44;-3.3%
10.08.2015;10.08.2015;9.07;9.26;8.92;9.21;5.10;5.10;1.54%
11.08.2015;11.08.2015;9.15;9.23;8.94;9.11;2.36;2.36;-1.09%
12.08.2015;12.08.2015;9.05;9.09;8.64;8.89;4.73;4.73;-2.41%
13.08.2015;13.08.2015;8.87;8.9;8.58;8.58;3.01;3.01;-3.49%
14.08.2015;14.08.2015;8.56;8.65;8.43;8.51;2.92;2.92;-0.82%
17.08.2015;17.08.2015;8.46;8.81;8.44;8.78;2.72;2.72;3.17%
18.08.2015;18.08.2015;8.79;9.28;8.63;9.17;8.22;8.22;4.44%
19.08.2015;19.08.2015;9.1;9.18;8.82;9.1;2.98;2.98;-0.76%
20.08.2015;20.08.2015;8.92;9.23;8.9;9.16;3.02;3.02;0.66%
21.08.2015;21.08.2015;9.09;9.1;8.77;8.85;5.87;5.87;-3.38%
24.08.2015;24.08.2015;8.25;8.61;7.9;8.29;6.36;6.36;-6.33%
25.08.2015;25.08.2015;8.46;8.5;8.26;8.3;5.69;5.69;0.12%
26.08.2015;26.08.2015;8.36;8.61;8.31;8.57;3.45;3.45;3.25%
27.08.2015;27.08.2015;8.63;8.88;8.52;8.88;5.20;5.20;3.62%
28.08.2015;28.08.2015;8.86;8.9;8.67;8.8;2.66;2.66;-0.9%
31.08.2015;31.08.2015;8.61;8.84;8.51;8.8;4.14;4.14;0.0%
01.09.2015;01.09.2015;8.44;8.62;8.26;8.37;5.68;5.68;-4.89%
02.09.2015;02.09.2015;8.43;8.49;8.2;8.46;6.63;6.63;1.08%
