Data;Último;Abertura;Máxima;Mínima;Vol.;Var
02.06.2015;9.79;9.65;9.94;9.65;4.46;2.62
03.06.2015;10.18;9.87;10.18;9.8;4.98;3.98
05.06.2015;9.77;10.14;10.16;9.69;5.38;-4.03
08.06.2015;9.75;9.79;9.95;9.67;3.68;-0.2
09.06.2015;9.82;9.75;9.85;9.63;3.68;0.72
10.06.2015;9.9;9.89;9.99;9.8;2.83;0.81
11.06.2015;9.85;9.97;9.98;9.77;3.32;-0.51
12.06.2015;9.59;9.78;9.87;9.53;7.20;-2.64
15.06.2015;9.55;9.52;9.63;9.29;1.98;-0.42
16.06.2015;9.64;9.62;9.69;9.41;3.64;0.94
17.06.2015;9.96;9.71;10.14;9.71;8.80;3.32
18.06.2015;10.53;10.03;10.64;9.78;9.45;5.72
19.06.2015;10.42;10.46;10.58;10.25;3.41;-1.04
22.06.2015;10.38;10.49;10.57;10.22;2.91;-0.38
23.06.2015;10.14;10.47;10.55;10.08;2.41;-2.31
24.06.2015;10.44;10.15;10.44;10.09;3.77;2.96
25.06.2015;10.6;10.45;10.77;10.38;5.53;1.53
26.06.2015;10.7;10.65;10.71;10.44;2.46;0.94
29.06.2015;10.24;10.74;10.74;10.02;2.65;-4.3
30.06.2015;10.24;10.28;10.3;10;2.61;0.0
01.07.2015;10.15;10.29;10.3;10.05;4.66;-0.88
02.07.2015;10.39;10.2;10.47;10.13;1.99;2.36
03.07.2015;10.3;10.38;10.41;10.12;1.33;-0.87
06.07.2015;10.2;10.15;10.32;10.07;3.82;-0.97
07.07.2015;10.25;10.15;10.27;10;3.10;0.49
08.07.2015;9.86;10.19;10.26;9.81;12.20;-3.8
10.07.2015;9.58;9.9;9.95;9.54;3.34;-2.84
13.07.2015;9.85;9.58;9.89;9.58;1.82;2.82
14.07.2015;9.81;9.85;9.89;9.73;1.97;-0.41
15.07.2015;9.73;9.75;9.86;9.5;2.31;-0.82
16.07.2015;9.35;9.8;10.04;9.2;4.17;-3.91
17.07.2015;9.41;9.33;9.54;9.3;2.67;0.64
20.07.2015;9.19;9.4;9.46;9.19;1.42;-2.34
21.07.2015;9.34;9.25;9.35;9.13;1.88;1.63
22.07.2015;9.15;9.22;9.34;9.04;1.71;-2.03
23.07.2015;9.23;9.09;9.32;8.94;3.92;0.87
24.07.2015;8.99;9.19;9.28;8.94;2.51;-2.6
27.07.2015;9.11;8.94;9.11;8.88;3.19;1.33
28.07.2015;8.87;9.17;9.23;8.81;8.37;-2.63
29.07.2015;8.96;8.82;9.19;8.82;3.60;1.01
30.07.2015;9.12;9;9.16;8.96;3.47;1.79
31.07.2015;9.39;9.12;9.39;9.09;2.09;2.96
03.08.2015;9.28;9.32;9.48;9.15;2.67;-1.17
04.08.2015;9.09;9.34;9.46;9.03;2.03;-2.05
05.08.2015;9.45;9;9.48;8.77;5.93;3.96
06.08.2015;9.38;9.33;9.66;9.22;3.46;-0.74
