Data;Último;Abertura;máxmia;mínima;Vol.;Var;
22.12.2014;11.6;11.45;11.6;11.2;2.44;0.78;
23.12.2014;11.76;11.5;11.77;11.41;1.58;1.38;
26.12.2014;11.5;11.86;11.86;11.44;0.713;-2.21;
29.12.2014;11.75;11.42;11.75;11.34;1.21;2.17;
30.12.2014;11.58;11.8;11.9;11.47;1.94;-1.45;
02.01.2015;11.47;11.5;11.83;11.43;2.78;-0.95;
05.01.2015;11.22;11.25;11.57;11.17;3.10;-2.18;
06.01.2015;11.15;11.27;11.39;11.09;2.75;-0.62;
07.01.2015;11.34;11.23;11.45;11.03;1.85;1.7;
08.01.2015;11.8;11.34;11.99;11.24;2.11;4.06;
09.01.2015;11.42;11.9;11.9;11.41;1.33;-3.22;
12.01.2015;11.5;11.31;11.61;11.29;1.82;0.7;
13.01.2015;11.44;11.5;11.66;11.25;1.93;-0.52;
14.01.2015;11.46;11.27;11.6;11.26;2.56;0.17;
15.01.2015;11.64;11.44;11.82;11.43;2.44;1.57;
16.01.2015;11.75;11.6;11.93;11.6;2.04;0.95;
19.01.2015;11.33;11.63;11.63;11.16;0.873;-3.57;
20.01.2015;11.7;11.42;11.75;11.37;2.43;3.27;
21.01.2015;12.04;11.62;12.09;11.57;4.03;2.91;
22.01.2015;12.09;12.25;12.34;11.88;2.95;0.42;
23.01.2015;12.2;12.03;12.5;12;2.41;0.91;
26.01.2015;11.94;12.01;12.1;11.82;5.68;-2.13;
27.01.2015;11.85;11.9;11.97;11.52;3.09;-0.75;
28.01.2015;11.85;11.68;12.08;11.68;1.73;0.00;
29.01.2015;11.98;11.73;12.02;11.67;2.13;1.1;
30.01.2015;11.64;11.75;11.94;11.44;2.86;-2.84;
02.02.2015;11.85;11.73;11.93;11.53;1.32;1.8;
03.02.2015;11.91;11.99;12.17;11.82;1.66;0.51;
04.02.2015;11.98;11.95;12.1;11.57;1.89;0.59;
05.02.2015;11.98;11.88;12.17;11.8;1.91;0.0;
06.02.2015;11.96;11.81;11.97;11.67;1.62;-0.17;
09.02.2015;11.9;11.91;12.07;11.75;1.77;-0.5;
10.02.2015;11.8;11.97;12.04;11.77;1.52;-0.84;
11.02.2015;12.16;11.81;12.16;11.72;2.91;3.05;
12.02.2015;12.09;12.24;12.43;12.01;2.80;-0.58;
13.02.2015;12.58;12.18;12.6;12.09;2.04;4.05;
18.02.2015;12.66;12.61;12.82;12.52;3.03;0.64;
19.02.2015;12.62;12.53;12.88;12.43;4.68;-0.32;
20.02.2015;12.17;12.63;12.63;12.16;2.24;-3.57;
23.02.2015;11.52;12.1;12.12;11.52;6.32;-5.34;
24.02.2015;11.69;11.55;11.74;11.37;2.16;1.48;
25.02.2015;11.77;11.45;11.84;11.45;2.87;0.68;
26.02.2015;11.88;11.85;11.88;11.62;1.38;0.93;
27.02.2015;11.72;11.76;12.06;11.69;2.09;-1.35;
02.03.2015;11.82;11.7;11.85;11.66;1.74;0.85;
03.03.2015;11.75;11.77;11.9;11.63;1.91;-0.59;
04.03.2015;11.6;11.57;11.73;11.46;2.41;-1.28;
05.03.2015;11.77;11.66;11.77;11.51;2.72;1.47;
06.03.2015;11.47;11.75;11.83;11.39;1.88;-2.55;
09.03.2015;11.39;11.32;11.49;11.16;2.42;-0.7;
10.03.2015;11.17;11.21;11.41;11.1;1.98;-1.93;
11.03.2015;11.39;11.39;11.49;11.25;1.97;1.97;
12.03.2015;11.59;11.72;11.72;11.49;2.06;1.76;
13.03.2015;11.61;11.1;11.72;11.08;4.01;0.17;
16.03.2015;11.79;11.55;11.79;11.55;2.97;1.55;
17.03.2015;11.83;11.79;12;11.74;3.67;0.34;
18.03.2015;11.98;11.75;12.09;11.66;3.63;1.27;
19.03.2015;11.57;11.99;12.05;11.49;3.44;-3.42;
20.03.2015;11.11;11.78;11.82;11.01;8.00;-3.98;
23.03.2015;11.18;11.15;11.33;11.09;4.15;0.63;
24.03.2015;11.12;11.2;11.27;11.03;2.13;-0.54;
25.03.2015;11.24;11.25;11.39;11.13;4.59;1.08;
26.03.2015;10.62;11.17;11.21;10.51;4.59;-5.52;
27.03.2015;10.45;10.54;10.71;10.37;2.86;-1.6;
30.03.2015;10.66;10.67;10.79;10.57;2.76;2.01;
31.03.2015;10.46;10.61;10.64;10.24;3.34;-1.88;
01.04.2015;10.27;10.45;10.74;10.2;4.75;-1.82;
02.04.2015;10.27;10.38;10.63;10.27;3.67;0.0;
06.04.2015;10.08;10.34;10.44;10.08;3.15;-1.85;
07.04.2015;10.08;10.09;10.17;9.91;2.36;0.0;
08.04.2015;10.18;10.28;10.33;10.01;7.58;0.99;
09.04.2015;10.13;10.14;10.4;10.1;2.73;-0.49;
10.04.2015;10.23;10.1;10.39;10.01;3.79;0.99;
13.04.2015;10.28;10.23;10.38;10.16;3.82;0.49;
14.04.2015;9.98;10.33;10.33;9.96;3.07;-2.92;
15.04.2015;9.98;10;10.05;9.95;2.64;0.0;
16.04.2015;9.97;9.99;10.03;9.85;2.67;-0.1;
17.04.2015;9.84;9.85;10.01;9.74;2.97;-1.3;
20.04.2015;9.97;9.8;10.08;9.77;3.54;1.32;
22.04.2015;10;10.02;10.08;9.88;4.12;0.3;
23.04.2015;9.99;9.95;10.06;9.93;3.39;-0.1;
24.04.2015;10.07;10.04;10.18;9.95;4.85;0.8;
27.04.2015;9.99;10.13;10.24;9.99;3.34;-0.79;
28.04.2015;9.81;10.13;10.16;9.69;4.80;-1.8;
29.04.2015;9.65;9.74;9.75;9.59;2.95;-1.63;
30.04.2015;9.49;9.59;9.78;9.45;2.72;-1.66;
04.05.2015;9.5;9.64;9.64;9.3;4.98;0.11;
05.05.2015;9.5;9.49;9.59;9.36;2.44;0.0;
06.05.2015;8.99;9.55;9.57;8.9;5.35;-5.37;
07.05.2015;8.79;9.02;9.09;8.75;3.56;-2.22;
08.05.2015;8.88;8.92;8.94;8.65;4.20;1.02;
11.05.2015;8.94;8.88;9.04;8.85;12.12;0.68;
12.05.2015;8.87;8.92;9.08;8.83;3.24;-0.78;
13.05.2015;8.92;8.86;8.96;8.6;3.54;0.56;
14.05.2015;8.83;8.96;9.03;8.77;2.74;-1.01;
15.05.2015;9;8.78;9.05;8.74;3.58;1.93;
18.05.2015;8.72;9;9.03;8.72;3.47;-3.11;
19.05.2015;8.86;8.77;8.88;8.64;2.43;1.61;
20.05.2015;9.36;8.9;9.4;8.75;4.43;5.64;
21.05.2015;9.48;9.39;9.59;9.29;4.75;1.28;
22.05.2015;9.22;9.54;9.6;9.2;4.49;-2.74;
25.05.2015;9.12;9.2;9.21;9.02;0.791;-1.08;
26.05.2015;9.35;9.06;9.39;8.97;3.91;2.52;
27.05.2015;9.36;9.36;9.48;9.2;2.65;0.11;
28.05.2015;9.47;9.29;9.47;9.25;2.23;1.18;
29.05.2015;9.42;9.39;9.56;9.32;3.73;-0.53;
01.06.2015;9.54;9.42;9.54;9.33;3.11;1.27;
02.06.2015;9.79;9.65;9.94;9.65;4.46;2.62;
03.06.2015;10.18;9.87;10.18;9.8;4.98;3.98;
05.06.2015;9.77;10.14;10.16;9.69;5.38;-4.03;
08.06.2015;9.75;9.79;9.95;9.67;3.68;-0.2;
09.06.2015;9.82;9.75;9.85;9.63;3.68;0.72;
10.06.2015;9.9;9.89;9.99;9.8;2.83;0.81;
11.06.2015;9.85;9.97;9.98;9.77;3.32;-0.51;
12.06.2015;9.59;9.78;9.87;9.53;7.20;-2.64;
15.06.2015;9.55;9.52;9.63;9.29;1.98;-0.42;
16.06.2015;9.64;9.62;9.69;9.41;3.64;0.94;
17.06.2015;9.96;9.71;10.14;9.71;8.80;3.32;
18.06.2015;10.53;10.03;10.64;9.78;9.45;5.72;
19.06.2015;10.42;10.46;10.58;10.25;3.41;-1.04;
22.06.2015;10.38;10.49;10.57;10.22;2.91;-0.38;
23.06.2015;10.14;10.47;10.55;10.08;2.41;-2.31;
24.06.2015;10.44;10.15;10.44;10.09;3.77;2.96;
25.06.2015;10.6;10.45;10.77;10.38;5.53;1.53;
26.06.2015;10.7;10.65;10.71;10.44;2.46;0.94;
29.06.2015;10.24;10.74;10.74;10.02;2.65;-4.3;
30.06.2015;10.24;10.28;10.3;10;2.61;0.0;
01.07.2015;10.15;10.29;10.3;10.05;4.66;-0.88;
