Data;Data;Abertura;àxia;Õnia;˜ltio;Vol.;Vol.;Var%
26.12.2014;26.12.2014;11.86;11.86;11.44;11.5;0.713;0.713;-2.21%
29.12.2014;29.12.2014;11.42;11.75;11.34;11.75;1.21;1.21;2.17%
30.12.2014;30.12.2014;11.8;11.9;11.47;11.58;1.94;1.94;-1.45%
02.01.2015;02.01.2015;11.5;11.83;11.43;11.47;2.78;2.78;-0.95%
05.01.2015;05.01.2015;11.25;11.57;11.17;11.22;3.1;3.1;-2.18%
06.01.2015;06.01.2015;11.27;11.39;11.09;11.15;2.75;2.75;-0.62%
07.01.2015;07.01.2015;11.23;11.45;11.03;11.34;1.85;1.85;1.7%
08.01.2015;08.01.2015;11.34;11.99;11.24;11.8;2.11;2.11;4.06%
09.01.2015;09.01.2015;11.9;11.9;11.41;11.42;1.33;1.33;-3.22%
12.01.2015;12.01.2015;11.31;11.61;11.29;11.5;1.82;1.82;0.7%
13.01.2015;13.01.2015;11.5;11.66;11.25;11.44;1.93;1.93;-0.52%
14.01.2015;14.01.2015;11.27;11.6;11.26;11.46;2.56;2.56;0.17%
15.01.2015;15.01.2015;11.44;11.82;11.43;11.64;2.44;2.44;1.57%
16.01.2015;16.01.2015;11.6;11.93;11.6;11.75;2.04;2.04;0.95%
19.01.2015;19.01.2015;11.63;11.63;11.16;11.33;0.8736;0.8736;-3.57%
20.01.2015;20.01.2015;11.42;11.75;11.37;11.7;2.43;2.43;3.27%
21.01.2015;21.01.2015;11.62;12.09;11.57;12.04;4.03;4.03;2.91%
22.01.2015;22.01.2015;12.25;12.34;11.88;12.09;2.95;2.95;0.42%
23.01.2015;23.01.2015;12.03;12.5;12;12.2;2.41;2.41;0.91%
26.01.2015;26.01.2015;12.01;12.1;11.82;11.94;5.68;5.68;-2.13%
27.01.2015;27.01.2015;11.9;11.97;11.52;11.85;3.09;3.09;-0.75%
28.01.2015;28.01.2015;11.68;12.08;11.68;11.85;1.73;1.73;0.00%
29.01.2015;29.01.2015;11.73;12.02;11.67;11.98;2.13;2.13;1.1%
30.01.2015;30.01.2015;11.75;11.94;11.44;11.64;2.86;2.86;-2.84%
02.02.2015;02.02.2015;11.73;11.93;11.53;11.85;1.32;1.32;1.8%
03.02.2015;03.02.2015;11.99;12.17;11.82;11.91;1.66;1.66;0.51%
04.02.2015;04.02.2015;11.95;12.1;11.57;11.98;1.89;1.89;0.59%
05.02.2015;05.02.2015;11.88;12.17;11.8;11.98;1.91;1.91;0.00%
06.02.2015;06.02.2015;11.81;11.97;11.67;11.96;1.62;1.62;-0.17%
09.02.2015;09.02.2015;11.91;12.07;11.75;11.9;1.77;1.77;-0.5%
10.02.2015;10.02.2015;11.97;12.04;11.77;11.8;1.52;1.52;-0.84%
11.02.2015;11.02.2015;11.81;12.16;11.72;12.16;2.91;2.91;3.05%
12.02.2015;12.02.2015;12.24;12.43;12.01;12.09;2.8;2.8;-0.58%
13.02.2015;13.02.2015;12.18;12.6;12.09;12.58;2.04;2.04;4.05%
18.02.2015;18.02.2015;12.61;12.82;12.52;12.66;3.03;3.03;0.64%
19.02.2015;19.02.2015;12.53;12.88;12.43;12.62;4.68;4.68;-0.32%
20.02.2015;20.02.2015;12.63;12.63;12.16;12.17;2.24;2.24;-3.57%
23.02.2015;23.02.2015;12.1;12.12;11.52;11.52;6.32;6.32;-5.34%
24.02.2015;24.02.2015;11.55;11.74;11.37;11.69;2.16;2.16;1.48%
25.02.2015;25.02.2015;11.45;11.84;11.45;11.77;2.87;2.87;0.68%
26.02.2015;26.02.2015;11.85;11.88;11.62;11.88;1.38;1.38;0.93%
27.02.2015;27.02.2015;11.76;12.06;11.69;11.72;2.09;2.09;-1.35%
02.03.2015;02.03.2015;11.7;11.85;11.66;11.82;1.74;1.74;0.85%
03.03.2015;03.03.2015;11.77;11.9;11.63;11.75;1.91;1.91;-0.59%
04.03.2015;04.03.2015;11.57;11.73;11.46;11.6;2.41;2.41;-1.28%
05.03.2015;05.03.2015;11.66;11.77;11.51;11.77;2.72;2.72;1.47%
06.03.2015;06.03.2015;11.75;11.83;11.39;11.47;1.88;1.88;-2.55%
09.03.2015;09.03.2015;11.32;11.49;11.16;11.39;2.42;2.42;-0.7%
10.03.2015;10.03.2015;11.21;11.41;11.1;11.17;1.98;1.98;-1.93%
11.03.2015;11.03.2015;11.39;11.49;11.25;11.39;1.97;1.97;1.97%
12.03.2015;12.03.2015;11.72;11.72;11.49;11.59;2.06;2.06;1.76%
13.03.2015;13.03.2015;11.1;11.72;11.08;11.61;4.01;4.01;0.17%
16.03.2015;16.03.2015;11.55;11.79;11.55;11.79;2.97;2.97;1.55%
17.03.2015;17.03.2015;11.79;12;11.74;11.83;3.67;3.67;0.34%
18.03.2015;18.03.2015;11.75;12.09;11.66;11.98;3.63;3.63;1.27%
19.03.2015;19.03.2015;11.99;12.05;11.49;11.57;3.44;3.44;-3.42%
20.03.2015;20.03.2015;11.78;11.82;11.01;11.11;8;8;-3.98%
23.03.2015;23.03.2015;11.15;11.33;11.09;11.18;4.15;4.15;0.63%
24.03.2015;24.03.2015;11.2;11.27;11.03;11.12;2.13;2.13;-0.54%
25.03.2015;25.03.2015;11.25;11.39;11.13;11.24;4.59;4.59;1.08%
26.03.2015;26.03.2015;11.17;11.21;10.51;10.62;4.59;4.59;-5.52%
27.03.2015;27.03.2015;10.54;10.71;10.37;10.45;2.86;2.86;-1.6%
30.03.2015;30.03.2015;10.67;10.79;10.57;10.66;2.76;2.76;2.01%
31.03.2015;31.03.2015;10.61;10.64;10.24;10.46;3.34;3.34;-1.88%
01.04.2015;01.04.2015;10.45;10.74;10.2;10.27;4.75;4.75;-1.82%
02.04.2015;02.04.2015;10.38;10.63;10.27;10.27;3.67;3.67;0.0%
06.04.2015;06.04.2015;10.34;10.44;10.08;10.08;3.15;3.15;-1.85%
07.04.2015;07.04.2015;10.09;10.17;9.91;10.08;2.36;2.36;0.0%
08.04.2015;08.04.2015;10.28;10.33;10.01;10.18;7.58;7.58;0.99%
09.04.2015;09.04.2015;10.14;10.4;10.1;10.13;2.73;2.73;-0.49%
10.04.2015;10.04.2015;10.1;10.39;10.01;10.23;3.79;3.79;0.99%
13.04.2015;13.04.2015;10.23;10.38;10.16;10.28;3.82;3.82;0.49%
14.04.2015;14.04.2015;10.33;10.33;9.96;9.98;3.07;3.07;-2.92%
15.04.2015;15.04.2015;10;10.05;9.95;9.98;2.64;2.64;0.0%
16.04.2015;16.04.2015;9.99;10.03;9.85;9.97;2.67;2.67;-0.1%
17.04.2015;17.04.2015;9.85;10.01;9.74;9.84;2.97;2.97;-1.3%
20.04.2015;20.04.2015;9.8;10.08;9.77;9.97;3.54;3.54;1.32%
22.04.2015;22.04.2015;10.02;10.08;9.88;10;4.12;4.12;0.3%
23.04.2015;23.04.2015;9.95;10.06;9.93;9.99;3.39;3.39;-0.1%
24.04.2015;24.04.2015;10.04;10.18;9.95;10.07;4.85;4.85;0.8%
27.04.2015;27.04.2015;10.13;10.24;9.99;9.99;3.34;3.34;-0.79%
28.04.2015;28.04.2015;10.13;10.16;9.69;9.81;4.8;4.8;-1.8%
29.04.2015;29.04.2015;9.74;9.75;9.59;9.65;2.95;2.95;-1.63%
30.04.2015;30.04.2015;9.59;9.78;9.45;9.49;2.72;2.72;-1.66%
04.05.2015;04.05.2015;9.64;9.64;9.3;9.5;4.98;4.98;0.11%
05.05.2015;05.05.2015;9.49;9.59;9.36;9.5;2.44;2.44;0.0%
06.05.2015;06.05.2015;9.55;9.57;8.9;8.99;5.35;5.35;-5.37%
07.05.2015;07.05.2015;9.02;9.09;8.75;8.79;3.56;3.56;-2.22%
08.05.2015;08.05.2015;8.92;8.94;8.65;8.88;4.2;4.2;1.02%
11.05.2015;11.05.2015;8.88;9.04;8.85;8.94;12.12;12.12;0.68%
12.05.2015;12.05.2015;8.92;9.08;8.83;8.87;3.24;3.24;-0.78%
13.05.2015;13.05.2015;8.86;8.96;8.6;8.92;3.54;3.54;0.56%
14.05.2015;14.05.2015;8.96;9.03;8.77;8.83;2.74;2.74;-1.01%
15.05.2015;15.05.2015;8.78;9.05;8.74;9;3.58;3.58;1.93%
18.05.2015;18.05.2015;9;9.03;8.72;8.72;3.47;3.47;-3.11%
19.05.2015;19.05.2015;8.77;8.88;8.64;8.86;2.43;2.43;1.61%
20.05.2015;20.05.2015;8.9;9.4;8.75;9.36;4.43;4.43;5.64%
21.05.2015;21.05.2015;9.39;9.59;9.29;9.48;4.75;4.75;1.28%
22.05.2015;22.05.2015;9.54;9.6;9.2;9.22;4.49;4.49;-2.74%
25.05.2015;25.05.2015;9.2;9.21;9.02;9.12;0.7911;0.7911;-1.08%
26.05.2015;26.05.2015;9.06;9.39;8.97;9.35;3.91;3.91;2.52%
27.05.2015;27.05.2015;9.36;9.48;9.2;9.36;2.65;2.65;0.11%
28.05.2015;28.05.2015;9.29;9.47;9.25;9.47;2.23;2.23;1.18%
29.05.2015;29.05.2015;9.39;9.56;9.32;9.42;3.73;3.73;-0.53%
01.06.2015;01.06.2015;9.42;9.54;9.33;9.54;3.11;3.11;1.27%
02.06.2015;02.06.2015;9.65;9.94;9.65;9.79;4.46;4.46;2.62%
03.06.2015;03.06.2015;9.87;10.18;9.8;10.18;4.98;4.98;3.98%
05.06.2015;05.06.2015;10.14;10.16;9.69;9.77;5.38;5.38;-4.03%
08.06.2015;08.06.2015;9.79;9.95;9.67;9.75;3.68;3.68;-0.2%
09.06.2015;09.06.2015;9.75;9.85;9.63;9.82;3.68;3.68;0.72%
10.06.2015;10.06.2015;9.89;9.99;9.8;9.9;2.83;2.83;0.81%
11.06.2015;11.06.2015;9.97;9.98;9.77;9.85;3.32;3.32;-0.51%
12.06.2015;12.06.2015;9.78;9.87;9.53;9.59;7.2;7.2;-2.64%
15.06.2015;15.06.2015;9.52;9.63;9.29;9.55;1.98;1.98;-0.42%
16.06.2015;16.06.2015;9.62;9.69;9.41;9.64;3.64;3.64;0.94%
17.06.2015;17.06.2015;9.71;10.14;9.71;9.96;8.8;8.8;3.32%
18.06.2015;18.06.2015;10.03;10.64;9.78;10.53;9.45;9.45;5.72%
19.06.2015;19.06.2015;10.46;10.58;10.25;10.42;3.41;3.41;-1.04%
22.06.2015;22.06.2015;10.49;10.57;10.22;10.38;2.91;2.91;-0.38%
23.06.2015;23.06.2015;10.47;10.55;10.08;10.14;2.41;2.41;-2.31%
24.06.2015;24.06.2015;10.15;10.44;10.09;10.44;3.77;3.77;2.96%
25.06.2015;25.06.2015;10.45;10.77;10.38;10.6;5.53;5.53;1.53%
26.06.2015;26.06.2015;10.65;10.71;10.44;10.7;2.46;2.46;0.94%
29.06.2015;29.06.2015;10.74;10.74;10.02;10.24;2.65;2.65;-4.3%
30.06.2015;30.06.2015;10.28;10.3;10;10.24;2.61;2.61;0.0%
