Data,Close,Recompensa,RecompensaAcumulada,Estado,Retorno,RetornoAcumulado
2015-06-05,9.77,0.0,0.0,3,0.0403,0.0
2015-06-08,9.75,0.0403,0.0,2.0,0.002,0.0403
2015-06-09,9.82,0.0,4.0275,3.0,0.0072,0.0422
2015-06-10,9.9,0.0072,4.0275,1.0,0.0082,0.0494
2015-06-11,9.85,0.0154,4.7454,1.0,-0.0051,0.0576
2015-06-12,9.59,0.0103,6.2839,1.0,-0.0267,0.0525
2015-06-15,9.55,-0.0164,7.3096,1.0,-0.0041,0.0258
2015-06-16,9.64,-0.0205,5.6685,1.0,0.0092,0.0217
2015-06-17,9.96,0.0,3.6172,3.0,0.0332,0.031
2015-06-18,10.53,0.0332,3.6172,1.0,0.0591,0.0642
2015-06-19,10.42,0.0923,6.9367,1.0,-0.0114,0.1233
2015-06-22,10.38,0.0809,16.1691,1.0,-0.0041,0.1119
2015-06-23,10.14,0.0768,24.2604,1.0,-0.0249,0.1077
2015-06-24,10.44,0.0519,31.9367,1.0,0.0311,0.0828
2015-06-25,10.6,0.083,37.1235,1.0,0.0166,0.1139
2015-06-26,10.7,0.0996,45.4222,1.0,0.0104,0.1305
2015-06-29,10.24,0.11,55.3807,1.0,-0.0477,0.1409
2015-06-30,10.24,0.0622,66.3766,1.0,0.0,0.0932
2015-07-01,10.15,0.0622,72.6006,1.0,-0.0093,0.0932
2015-07-02,10.39,0.0529,78.8247,1.0,0.0249,0.0839
2015-07-03,10.3,0.0778,84.1151,1.0,-0.0093,0.1088
2015-07-06,10.2,0.0,91.8952,3.0,0.0,0.0994
2015-07-07,10.25,0.0,91.8952,3.0,-0.0049,0.0994
2015-07-08,9.86,-0.0049,91.8952,2.0,0.0382,0.0945
2015-07-10,9.58,0.0,91.405,3.0,0.0284,0.1328
2015-07-13,9.85,0.0284,91.405,2.0,-0.0274,0.1612
2015-07-14,9.81,0.001,94.2448,2.0,0.0041,0.1338
2015-07-15,9.73,0.0051,94.3462,2.0,0.0081,0.1378
