"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2019.10.01	10:00:00	58.09	58.09	57.85	58.06	11	2900	1"
"2019.10.01	10:02:00	58.01	58.01	58.01	58.01	1	100	1"
"2019.10.01	10:03:00	58.01	58.12	57.94	57.94	4	2400	1"
"2019.10.01	10:04:00	57.94	57.94	57.94	57.94	2	200	1"
"2019.10.01	10:05:00	57.99	57.99	57.99	57.99	1	100	1"
"2019.10.01	10:06:00	57.99	57.99	57.85	57.85	6	1000	1"
"2019.10.01	10:07:00	57.84	57.90	57.80	57.87	16	3000	1"
"2019.10.01	10:08:00	57.91	57.95	57.89	57.95	6	1200	1"
"2019.10.01	10:10:00	57.86	57.92	57.85	57.92	4	600	1"
"2019.10.01	10:11:00	58.01	58.10	58.01	58.10	11	1800	1"
"2019.10.01	10:12:00	58.09	58.12	57.96	58.12	29	4400	1"
"2019.10.01	10:13:00	58.06	58.06	58.04	58.04	3	400	1"
"2019.10.01	10:15:00	58.04	58.14	58.04	58.14	23	2400	1"
"2019.10.01	10:16:00	58.13	58.19	58.13	58.19	17	3300	1"
"2019.10.01	10:17:00	58.22	58.32	58.22	58.32	13	1800	1"
"2019.10.01	10:18:00	58.32	58.32	58.21	58.29	13	1400	1"
"2019.10.01	10:19:00	58.24	58.28	58.21	58.21	8	900	1"
"2019.10.01	10:20:00	58.21	58.28	58.14	58.20	33	4000	1"
"2019.10.01	10:21:00	58.20	58.26	58.20	58.26	3	400	1"
"2019.10.01	10:22:00	58.21	58.26	58.20	58.25	6	600	1"
"2019.10.01	10:23:00	58.26	58.27	58.26	58.27	2	300	1"
"2019.10.01	10:25:00	58.19	58.19	58.19	58.19	1	100	1"
"2019.10.01	10:26:00	58.24	58.26	58.24	58.26	4	500	1"
"2019.10.01	10:27:00	58.19	58.19	58.19	58.19	1	100	1"
"2019.10.01	10:28:00	58.22	58.22	58.20	58.22	5	600	1"
"2019.10.01	10:29:00	58.19	58.19	58.15	58.15	4	700	1"
"2019.10.01	10:30:00	58.15	58.15	58.11	58.12	5	600	1"
